alias	chrom	source
HSCHR13_1_CTG2	chr13_KI270839v1_alt	assembly
KI270839.1	chr13_KI270839v1_alt	genbank
NT_187593.1	chr13_KI270839v1_alt	refseq
HSCHR13_1_CTG3	chr13_KI270840v1_alt	assembly
KI270840.1	chr13_KI270840v1_alt	genbank
NT_187594.1	chr13_KI270840v1_alt	refseq
HSCHR13_1_CTG4	chr13_KI270841v1_alt	assembly
KI270841.1	chr13_KI270841v1_alt	genbank
NT_187595.1	chr13_KI270841v1_alt	refseq
HSCHR13_1_CTG5	chr13_KI270842v1_alt	assembly
KI270842.1	chr13_KI270842v1_alt	genbank
NT_187596.1	chr13_KI270842v1_alt	refseq
HSCHR13_1_CTG6	chr13_KI270843v1_alt	assembly
KI270843.1	chr13_KI270843v1_alt	genbank
NT_187597.1	chr13_KI270843v1_alt	refseq
HG2216_PATCH	chr13_KN196483v1_fix	assembly
KN196483.1	chr13_KN196483v1_fix	genbank
NW_009646205.1	chr13_KN196483v1_fix	refseq
HG2288_HG2289_PATCH	chr13_KN538371v1_fix	assembly
KN538371.1	chr13_KN538371v1_fix	genbank
NW_011332698.1	chr13_KN538371v1_fix	refseq
HG2291_PATCH	chr13_KN538372v1_fix	assembly
KN538372.1	chr13_KN538372v1_fix	genbank
NW_011332699.1	chr13_KN538372v1_fix	refseq
HG2249_PATCH	chr13_KN538373v1_fix	assembly
KN538373.1	chr13_KN538373v1_fix	genbank
NW_011332700.1	chr13_KN538373v1_fix	refseq
HSCHR13_1_CTG7	chr13_KQ090024v1_alt	assembly
KQ090024.1	chr13_KQ090024v1_alt	genbank
NW_013171810.1	chr13_KQ090024v1_alt	refseq
HSCHR13_1_CTG8	chr13_KQ090025v1_alt	assembly
KQ090025.1	chr13_KQ090025v1_alt	genbank
NW_013171811.1	chr13_KQ090025v1_alt	refseq
14	chr14	assembly,ensembl
CM000676.2	chr14	genbank
NC_000014.9	chr14	refseq
GL000009.2	chr14_GL000009v2_random	ensembl,genbank
HSCHR14_CTG1_UNLOCALIZED	chr14_GL000009v2_random	assembly
NT_113796.3	chr14_GL000009v2_random	refseq
GL000194.1	chr14_GL000194v1_random	ensembl,genbank
HSCHR14_CTG4_UNLOCALIZED	chr14_GL000194v1_random	assembly
NT_113888.1	chr14_GL000194v1_random	refseq
GL000225.1	chr14_GL000225v1_random	ensembl,genbank
HSCHR14_CTG2_UNLOCALIZED	chr14_GL000225v1_random	assembly
NT_167219.1	chr14_GL000225v1_random	refseq
HSCHR14_CTG3_UNLOCALIZED	chr14_KI270722v1_random	assembly
KI270722.1	chr14_KI270722v1_random	ensembl,genbank
NT_187377.1	chr14_KI270722v1_random	refseq
HSCHR14_CTG5_UNLOCALIZED	chr14_KI270723v1_random	assembly
KI270723.1	chr14_KI270723v1_random	ensembl,genbank
NT_187378.1	chr14_KI270723v1_random	refseq
HSCHR14_CTG6_UNLOCALIZED	chr14_KI270724v1_random	assembly
KI270724.1	chr14_KI270724v1_random	ensembl,genbank
NT_187379.1	chr14_KI270724v1_random	refseq
HSCHR14_CTG7_UNLOCALIZED	chr14_KI270725v1_random	assembly
KI270725.1	chr14_KI270725v1_random	ensembl,genbank
NT_187380.1	chr14_KI270725v1_random	refseq
HSCHR14_CTG8_UNLOCALIZED	chr14_KI270726v1_random	assembly
KI270726.1	chr14_KI270726v1_random	ensembl,genbank
NT_187381.1	chr14_KI270726v1_random	refseq
HSCHR14_1_CTG1	chr14_KI270844v1_alt	assembly
KI270844.1	chr14_KI270844v1_alt	genbank
NT_187598.1	chr14_KI270844v1_alt	refseq
HSCHR14_2_CTG1	chr14_KI270845v1_alt	assembly
KI270845.1	chr14_KI270845v1_alt	genbank
NT_187599.1	chr14_KI270845v1_alt	refseq
HSCHR14_3_CTG1	chr14_KI270846v1_alt	assembly
KI270846.1	chr14_KI270846v1_alt	genbank
NT_187600.1	chr14_KI270846v1_alt	refseq
HSCHR14_7_CTG1	chr14_KI270847v1_alt	assembly
KI270847.1	chr14_KI270847v1_alt	genbank
NT_187601.1	chr14_KI270847v1_alt	refseq
HSCHR14_8_CTG1	chr14_KZ208919v1_alt	assembly
KZ208919.1	chr14_KZ208919v1_alt	genbank
NW_018654721.1	chr14_KZ208919v1_alt	refseq
HG1_PATCH	chr14_KZ208920v1_fix	assembly
KZ208920.1	chr14_KZ208920v1_fix	genbank
NW_018654722.1	chr14_KZ208920v1_fix	refseq
15	chr15	assembly,ensembl
CM000677.2	chr15	genbank
NC_000015.10	chr15	refseq
GL383554.1	chr15_GL383554v1_alt	genbank
HSCHR15_1_CTG8	chr15_GL383554v1_alt	assembly
NW_003315943.1	chr15_GL383554v1_alt	refseq
GL383555.2	chr15_GL383555v2_alt	genbank
HSCHR15_2_CTG8	chr15_GL383555v2_alt	assembly
NW_003315944.2	chr15_GL383555v2_alt	refseq
HSCHR15_RANDOM_CTG1	chr15_KI270727v1_random	assembly
KI270727.1	chr15_KI270727v1_random	ensembl,genbank
NT_187382.1	chr15_KI270727v1_random	refseq
HSCHR15_1_CTG3	chr15_KI270848v1_alt	assembly
KI270848.1	chr15_KI270848v1_alt	genbank
NT_187603.1	chr15_KI270848v1_alt	refseq
HSCHR15_3_CTG8	chr15_KI270849v1_alt	assembly
KI270849.1	chr15_KI270849v1_alt	genbank
NT_187605.1	chr15_KI270849v1_alt	refseq
HSCHR15_5_CTG8	chr15_KI270850v1_alt	assembly
KI270850.1	chr15_KI270850v1_alt	genbank
NT_187606.1	chr15_KI270850v1_alt	refseq
HSCHR15_3_CTG3	chr15_KI270851v1_alt	assembly
KI270851.1	chr15_KI270851v1_alt	genbank
NT_187604.1	chr15_KI270851v1_alt	refseq
HSCHR15_1_CTG1	chr15_KI270852v1_alt	assembly
KI270852.1	chr15_KI270852v1_alt	genbank
NT_187602.1	chr15_KI270852v1_alt	refseq
HSCHR15_4_CTG8	chr15_KI270905v1_alt	assembly
KI270905.1	chr15_KI270905v1_alt	genbank
NT_187660.1	chr15_KI270905v1_alt	refseq
HSCHR15_2_CTG3	chr15_KI270906v1_alt	assembly
KI270906.1	chr15_KI270906v1_alt	genbank
NT_187659.1	chr15_KI270906v1_alt	refseq
HG2139_PATCH	chr15_KN538374v1_fix	assembly
KN538374.1	chr15_KN538374v1_fix	genbank
NW_011332701.1	chr15_KN538374v1_fix	refseq
HSCHR15_6_CTG8	chr15_KQ031389v1_alt	assembly
KQ031389.1	chr15_KQ031389v1_alt	genbank
NW_012132920.1	chr15_KQ031389v1_alt	refseq
16	chr16	assembly,ensembl
CM000678.2	chr16	genbank
NC_000016.10	chr16	refseq
GL383556.1	chr16_GL383556v1_alt	genbank
HSCHR16_1_CTG3_1	chr16_GL383556v1_alt	assembly
NW_003315945.1	chr16_GL383556v1_alt	refseq
GL383557.1	chr16_GL383557v1_alt	genbank
HSCHR16_2_CTG3_1	chr16_GL383557v1_alt	assembly
NW_003315946.1	chr16_GL383557v1_alt	refseq
HSCHR16_RANDOM_CTG1	chr16_KI270728v1_random	assembly
KI270728.1	chr16_KI270728v1_random	ensembl,genbank
NT_187383.1	chr16_KI270728v1_random	refseq
HSCHR16_1_CTG1	chr16_KI270853v1_alt	assembly
KI270853.1	chr16_KI270853v1_alt	genbank
NT_187607.1	chr16_KI270853v1_alt	refseq
HSCHR16_CTG2	chr16_KI270854v1_alt	assembly
KI270854.1	chr16_KI270854v1_alt	genbank
NT_187610.1	chr16_KI270854v1_alt	refseq
HSCHR16_3_CTG1	chr16_KI270855v1_alt	assembly
KI270855.1	chr16_KI270855v1_alt	genbank
NT_187608.1	chr16_KI270855v1_alt	refseq
HSCHR16_4_CTG1	chr16_KI270856v1_alt	assembly
KI270856.1	chr16_KI270856v1_alt	genbank
NT_187609.1	chr16_KI270856v1_alt	refseq
HSCHR16_3_CTG3_1	chr16_KQ031390v1_alt	assembly
KQ031390.1	chr16_KQ031390v1_alt	genbank
NW_012132921.1	chr16_KQ031390v1_alt	refseq
HSCHR16_5_CTG1	chr16_KQ090026v1_alt	assembly
KQ090026.1	chr16_KQ090026v1_alt	genbank
NW_013171812.1	chr16_KQ090026v1_alt	refseq
HSCHR16_4_CTG3_1	chr16_KQ090027v1_alt	assembly
KQ090027.1	chr16_KQ090027v1_alt	genbank
NW_013171813.1	chr16_KQ090027v1_alt	refseq
HG926_PATCH	chr16_KV880768v1_fix	assembly
KV880768.1	chr16_KV880768v1_fix	genbank
NW_017852933.1	chr16_KV880768v1_fix	refseq
HSCHR16_5_CTG3_1	chr16_KZ208921v1_alt	assembly
KZ208921.1	chr16_KZ208921v1_alt	genbank
NW_018654723.1	chr16_KZ208921v1_alt	refseq
HG2263_PATCH	chr16_KZ559113v1_fix	assembly
KZ559113.1	chr16_KZ559113v1_fix	genbank
NW_019805500.1	chr16_KZ559113v1_fix	refseq
17	chr17	assembly,ensembl
CM000679.2	chr17	genbank
NC_000017.11	chr17	refseq
GL000205.2	chr17_GL000205v2_random	ensembl,genbank
HSCHR17_RANDOM_CTG3	chr17_GL000205v2_random	assembly
NT_113930.2	chr17_GL000205v2_random	refseq
GL000258.2	chr17_GL000258v2_alt	genbank
HSCHR17_1_CTG5	chr17_GL000258v2_alt	assembly
NT_167251.2	chr17_GL000258v2_alt	refseq
GL383563.3	chr17_GL383563v3_alt	genbank
HSCHR17_1_CTG1	chr17_GL383563v3_alt	assembly
NW_003315952.3	chr17_GL383563v3_alt	refseq
GL383564.2	chr17_GL383564v2_alt	genbank
HSCHR17_1_CTG4	chr17_GL383564v2_alt	assembly
NW_003315953.2	chr17_GL383564v2_alt	refseq
GL383565.1	chr17_GL383565v1_alt	genbank
HSCHR17_2_CTG4	chr17_GL383565v1_alt	assembly
NW_003315954.1	chr17_GL383565v1_alt	refseq
GL383566.1	chr17_GL383566v1_alt	genbank
HSCHR17_3_CTG4	chr17_GL383566v1_alt	assembly
NW_003315955.1	chr17_GL383566v1_alt	refseq
HSCHR17_4_CTG4	chr17_JH159146v1_alt	assembly
JH159146.1	chr17_JH159146v1_alt	genbank
NW_003871091.1	chr17_JH159146v1_alt	refseq
HSCHR17_5_CTG4	chr17_JH159147v1_alt	assembly
JH159147.1	chr17_JH159147v1_alt	genbank
NW_003871092.1	chr17_JH159147v1_alt	refseq
HSCHR17_6_CTG4	chr17_JH159148v1_alt	assembly
JH159148.1	chr17_JH159148v1_alt	genbank
NW_003871093.1	chr17_JH159148v1_alt	refseq
HSCHR17_RANDOM_CTG4	chr17_KI270729v1_random	assembly
KI270729.1	chr17_KI270729v1_random	ensembl,genbank
NT_187384.1	chr17_KI270729v1_random	refseq
HSCHR17_RANDOM_CTG5	chr17_KI270730v1_random	assembly
KI270730.1	chr17_KI270730v1_random	ensembl,genbank
NT_187385.1	chr17_KI270730v1_random	refseq
HSCHR17_7_CTG4	chr17_KI270857v1_alt	assembly
KI270857.1	chr17_KI270857v1_alt	genbank
NT_187614.1	chr17_KI270857v1_alt	refseq
HSCHR17_8_CTG4	chr17_KI270858v1_alt	assembly
KI270858.1	chr17_KI270858v1_alt	genbank
NT_187615.1	chr17_KI270858v1_alt	refseq
HSCHR17_9_CTG4	chr17_KI270859v1_alt	assembly
KI270859.1	chr17_KI270859v1_alt	genbank
NT_187616.1	chr17_KI270859v1_alt	refseq
HSCHR17_1_CTG9	chr17_KI270860v1_alt	assembly
KI270860.1	chr17_KI270860v1_alt	genbank
NT_187612.1	chr17_KI270860v1_alt	refseq
HSCHR17_1_CTG2	chr17_KI270861v1_alt	assembly
KI270861.1	chr17_KI270861v1_alt	genbank
NT_187611.1	chr17_KI270861v1_alt	refseq
HSCHR17_2_CTG2	chr17_KI270862v1_alt	assembly
KI270862.1	chr17_KI270862v1_alt	genbank
NT_187613.1	chr17_KI270862v1_alt	refseq
HSCHR17_2_CTG1	chr17_KI270907v1_alt	assembly
KI270907.1	chr17_KI270907v1_alt	genbank
NT_187662.1	chr17_KI270907v1_alt	refseq
HSCHR17_2_CTG5	chr17_KI270908v1_alt	assembly
KI270908.1	chr17_KI270908v1_alt	genbank
NT_187663.1	chr17_KI270908v1_alt	refseq
HSCHR17_10_CTG4	chr17_KI270909v1_alt	assembly
KI270909.1	chr17_KI270909v1_alt	genbank
NT_187661.1	chr17_KI270909v1_alt	refseq
HSCHR17_3_CTG2	chr17_KI270910v1_alt	assembly
KI270910.1	chr17_KI270910v1_alt	genbank
NT_187664.1	chr17_KI270910v1_alt	refseq
HG2046_PATCH	chr17_KV575245v1_fix	assembly
KV575245.1	chr17_KV575245v1_fix	genbank
NW_016107299.1	chr17_KV575245v1_fix	refseq
HG2285_HG106_HG2252_PATCH	chr17_KV766196v1_fix	assembly
KV766196.1	chr17_KV766196v1_fix	genbank
NW_017363817.1	chr17_KV766196v1_fix	refseq
HSCHR17_11_CTG4	chr17_KV766197v1_alt	assembly
KV766197.1	chr17_KV766197v1_alt	genbank
NW_017363818.1	chr17_KV766197v1_alt	refseq
HSCHR17_3_CTG1	chr17_KV766198v1_alt	assembly
KV766198.1	chr17_KV766198v1_alt	genbank
NW_017363819.1	chr17_KV766198v1_alt	refseq
HSCHR17_12_CTG4	chr17_KZ559114v1_alt	assembly
KZ559114.1	chr17_KZ559114v1_alt	genbank
NW_019805501.1	chr17_KZ559114v1_alt	refseq
18	chr18	assembly,ensembl
CM000680.2	chr18	genbank
NC_000018.10	chr18	refseq
GL383567.1	chr18_GL383567v1_alt	genbank
HSCHR18_1_CTG1_1	chr18_GL383567v1_alt	assembly
NW_003315956.1	chr18_GL383567v1_alt	refseq
GL383568.1	chr18_GL383568v1_alt	genbank
HSCHR18_1_CTG2	chr18_GL383568v1_alt	assembly
NW_003315957.1	chr18_GL383568v1_alt	refseq
GL383569.1	chr18_GL383569v1_alt	genbank
HSCHR18_1_CTG2_1	chr18_GL383569v1_alt	assembly
NW_003315958.1	chr18_GL383569v1_alt	refseq
GL383570.1	chr18_GL383570v1_alt	genbank
HSCHR18_2_CTG1_1	chr18_GL383570v1_alt	assembly
NW_003315959.1	chr18_GL383570v1_alt	refseq
GL383571.1	chr18_GL383571v1_alt	genbank
HSCHR18_2_CTG2	chr18_GL383571v1_alt	assembly
NW_003315960.1	chr18_GL383571v1_alt	refseq
GL383572.1	chr18_GL383572v1_alt	genbank
HSCHR18_2_CTG2_1	chr18_GL383572v1_alt	assembly
NW_003315961.1	chr18_GL383572v1_alt	refseq
HSCHR18_3_CTG2_1	chr18_KI270863v1_alt	assembly
KI270863.1	chr18_KI270863v1_alt	genbank
NT_187617.1	chr18_KI270863v1_alt	refseq
HSCHR18_4_CTG1_1	chr18_KI270864v1_alt	assembly
KI270864.1	chr18_KI270864v1_alt	genbank
NT_187618.1	chr18_KI270864v1_alt	refseq
HSCHR18_ALT2_CTG2_1	chr18_KI270911v1_alt	assembly
KI270911.1	chr18_KI270911v1_alt	genbank
NT_187666.1	chr18_KI270911v1_alt	refseq
HSCHR18_ALT21_CTG2_1	chr18_KI270912v1_alt	assembly
KI270912.1	chr18_KI270912v1_alt	genbank
NT_187665.1	chr18_KI270912v1_alt	refseq
HG2213_PATCH	chr18_KQ090028v1_fix	assembly
KQ090028.1	chr18_KQ090028v1_fix	genbank
NW_013171814.1	chr18_KQ090028v1_fix	refseq
HSCHR18_5_CTG1_1	chr18_KQ458385v1_alt	assembly
KQ458385.1	chr18_KQ458385v1_alt	genbank
NW_014040928.1	chr18_KQ458385v1_alt	refseq
HG2442_PATCH	chr18_KZ208922v1_fix	assembly
KZ208922.1	chr18_KZ208922v1_fix	genbank
NW_018654724.1	chr18_KZ208922v1_fix	refseq
HG2412_PATCH	chr18_KZ559115v1_fix	assembly
KZ559115.1	chr18_KZ559115v1_fix	genbank
NW_019805502.1	chr18_KZ559115v1_fix	refseq
HSCHR18_1_CTG1	chr18_KZ559116v1_alt	assembly
KZ559116.1	chr18_KZ559116v1_alt	genbank
NW_019805503.1	chr18_KZ559116v1_alt	refseq
19	chr19	assembly,ensembl
CM000681.2	chr19	genbank
NC_000019.10	chr19	refseq
GL000209.2	chr19_GL000209v2_alt	genbank
HSCHR19KIR_RP5_B_HAP_CTG3_1	chr19_GL000209v2_alt	assembly
NT_113949.2	chr19_GL000209v2_alt	refseq
GL383573.1	chr19_GL383573v1_alt	genbank
HSCHR19_1_CTG2	chr19_GL383573v1_alt	assembly
NW_003315962.1	chr19_GL383573v1_alt	refseq
GL383574.1	chr19_GL383574v1_alt	genbank
HSCHR19_1_CTG3_1	chr19_GL383574v1_alt	assembly
NW_003315963.1	chr19_GL383574v1_alt	refseq
GL383575.2	chr19_GL383575v2_alt	genbank
HSCHR19_2_CTG2	chr19_GL383575v2_alt	assembly
NW_003315964.2	chr19_GL383575v2_alt	refseq
GL383576.1	chr19_GL383576v1_alt	genbank
HSCHR19_3_CTG2	chr19_GL383576v1_alt	assembly
NW_003315965.1	chr19_GL383576v1_alt	refseq
GL949746.1	chr19_GL949746v1_alt	genbank
HSCHR19LRC_COX1_CTG3_1	chr19_GL949746v1_alt	assembly
NW_003571054.1	chr19_GL949746v1_alt	refseq
GL949747.2	chr19_GL949747v2_alt	genbank
HSCHR19LRC_COX2_CTG3_1	chr19_GL949747v2_alt	assembly
NW_003571055.2	chr19_GL949747v2_alt	refseq
GL949748.2	chr19_GL949748v2_alt	genbank
HSCHR19LRC_LRC_I_CTG3_1	chr19_GL949748v2_alt	assembly
NW_003571056.2	chr19_GL949748v2_alt	refseq
GL949749.2	chr19_GL949749v2_alt	genbank
HSCHR19LRC_LRC_J_CTG3_1	chr19_GL949749v2_alt	assembly
NW_003571057.2	chr19_GL949749v2_alt	refseq
GL949750.2	chr19_GL949750v2_alt	genbank
HSCHR19LRC_LRC_S_CTG3_1	chr19_GL949750v2_alt	assembly
NW_003571058.2	chr19_GL949750v2_alt	refseq
GL949751.2	chr19_GL949751v2_alt	genbank
HSCHR19LRC_LRC_T_CTG3_1	chr19_GL949751v2_alt	assembly
NW_003571059.2	chr19_GL949751v2_alt	refseq
GL949752.1	chr19_GL949752v1_alt	genbank
HSCHR19LRC_PGF1_CTG3_1	chr19_GL949752v1_alt	assembly
