#meta	donor	organ	file	format	part	lab_kent_disassociation_protocol	lab_kent_quality	age	age_units	life_stage	sex	biosample_date	lab	assay	access
experiment_000	000	liver	ex00do00or01fa12.fq.gz	fastq	13	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa13.fq.gz	fastq	14	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa14.fq.gz	fastq	15	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa15.fq.gz	fastq	16	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa16.fq.gz	fastq	17	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa17.fq.gz	fastq	18	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa18.fq.gz	fastq	19	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa19.fq.gz	fastq	20	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa00.fq.gz	fastq	1	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa01.fq.gz	fastq	2	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa02.fq.gz	fastq	3	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa03.fq.gz	fastq	4	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa04.fq.gz	fastq	5	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa05.fq.gz	fastq	6	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa06.fq.gz	fastq	7	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa07.fq.gz	fastq	8	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa08.fq.gz	fastq	9	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa09.fq.gz	fastq	10	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa10.fq.gz	fastq	11	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa11.fq.gz	fastq	12	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa12.fq.gz	fastq	13	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa13.fq.gz	fastq	14	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa14.fq.gz	fastq	15	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa15.fq.gz	fastq	16	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa16.fq.gz	fastq	17	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa17.fq.gz	fastq	18	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa18.fq.gz	fastq	19	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or02fa19.fq.gz	fastq	20	fetal_liver_digest.pdf	0.04	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa00.fq.gz	fastq	1	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa01.fq.gz	fastq	2	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa02.fq.gz	fastq	3	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa03.fq.gz	fastq	4	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa04.fq.gz	fastq	5	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa05.fq.gz	fastq	6	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa06.fq.gz	fastq	7	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa07.fq.gz	fastq	8	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa08.fq.gz	fastq	9	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa09.fq.gz	fastq	10	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa10.fq.gz	fastq	11	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa11.fq.gz	fastq	12	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa12.fq.gz	fastq	13	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa13.fq.gz	fastq	14	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa14.fq.gz	fastq	15	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa15.fq.gz	fastq	16	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa16.fq.gz	fastq	17	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa17.fq.gz	fastq	18	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa18.fq.gz	fastq	19	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or03fa19.fq.gz	fastq	20	fetal_brain_digest.pdf	0.09	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa00.fq.gz	fastq	1	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa01.fq.gz	fastq	2	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa02.fq.gz	fastq	3	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa03.fq.gz	fastq	4	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa04.fq.gz	fastq	5	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa05.fq.gz	fastq	6	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa06.fq.gz	fastq	7	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa07.fq.gz	fastq	8	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa08.fq.gz	fastq	9	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa09.fq.gz	fastq	10	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa10.fq.gz	fastq	11	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa11.fq.gz	fastq	12	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa12.fq.gz	fastq	13	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa13.fq.gz	fastq	14	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa14.fq.gz	fastq	15	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa15.fq.gz	fastq	16	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa16.fq.gz	fastq	17	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa17.fq.gz	fastq	18	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or04fa18.fq.gz	fastq	19	fetal_liver_digest.pdf	0.16	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
