#IDX	INTEGRATED QUALITY FLAG	FILENAME		AUTO LOW S/N	UNDER SEQ	LOW LIBRARY COMPLEXITY	REPRODUCIBILITY FAIL		LAB	GRANT	CELLTYPE	HGNC ID	ANTIBODY	ENSEMBL GENE ID	TREATMENT	PROTOCOL	REP	NREPS		NREADS UNIQ MAP READS	NREADS DISTINCT UNIQ MAP	FRAG LEN		FCC	READ LEN	RCC	MINLEN	MINCC	NSC	RSC		NRF	PBC1	PBC2		RESCUE-RATIO (Np' / Nt) (DISTINCT READS)	SELF CONS. RATIO (Ns1/Ns2) (DISTINCT READS)	OPTIMAL PEAKS (DISTINCT READS) max(Np, Nt)		SELF CONS. 2% IDR PEAKS (Ns) (DISTINCT READS)	ORIG. REP. IDR PEAKS (DISTINCT READS)	MIN SELF CONS. 2% IDR PEAKS OVER ALL REPS	MAX SELF CONS. 2% IDR PEAKS OVER ALL REPS	MAX. ORIG. REP. 2% IDR PEAKS (Nt) (DISTINCT READS)	MAXIMAL RELAXED PEAK OVERLAP BETWEEN REPS. (DISTINCT READS)	POOLED CONS. 2% IDR PEAKS (Np) (DISTINCT READS)	POOLED CONS. 1% IDR PEAKS (Np') (DISTINCT READS)	MAXIMAL RELAXED PEAK OVERLAP BETWEEN POOLED PSEUDOREPS. (DISTINCT READS)	TOTAL RELAXED PEAKS PER REP. (DISTINCT READS)	NPEAKS ON POOLED DATA USING DEFAULT MACS P-VALUE 1e-5 (DISTINCT READS)	TOTAL RELAXED PEAKS ON POOLED DATA (DISTINCT READS)
15	1	wgEncodeBroadHistoneH1hescEzh239875AlnRep2		0	0	1	0		Broad	Bernstein	H1-hESC	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		20778115	13104757	110		0.174208238606621	35	0.1708873	1500	0.1585358	1.098858	1.268864		0.6307	0.616649	2.487832		1.03636363636364	1.15689248399056	6390		5934	5335	5934	6865	5335		6390	5529				
16	-1	wgEncodeBroadHistoneH1hescJarid1aab26049StdAlnRep1		0	0	1	1		Broad	Bernstein	H1-hESC	KDM5A	JARID1A_(ab26049)	ENSG00000073614	None	std	1	2		25535396	9246750	110		0.128354759576991	35	0.1254256	1500	0.1137943	1.127955	1.251829		0.362115	0.322664	1.379548		1481	4.60336538461538	1642		416	1	416	1915	1		1642	1481				
17	1	wgEncodeBroadHistoneH1hescJarid1aab26049StdAlnRep2		0	0	0	1		Broad	Bernstein	H1-hESC	KDM5A	JARID1A_(ab26049)	ENSG00000073614	None	std	2	2		24444510	20696653	60		0.239029919360854	35	0.2368819	1465	0.2212559	1.080332	1.137468		0.846679	0.859915	7.133662		1481	4.60336538461538	1642		1915	1	416	1915	1		1642	1481				
18	1	wgEncodeBroadHistoneH1hescRbbp5a300109aStdAlnRep1		0	0	1	0		Broad	Bernstein	H1-hESC	RBBP5	RBBP5_(A300-109A)	ENSG00000117222	None	std	1	2		22234774	12174139	90		0.192347769765717	35	0.1834488	1500	0.1480096	1.299563	1.251106		0.547527	0.521392	1.943038		1.24245465071401	2.24324324324324	16173		16434	16096	7326	16434	16096		16173	12955				
19	1	wgEncodeBroadHistoneH1hescRbbp5a300109aStdAlnRep2		0	0	0	0		Broad	Bernstein	H1-hESC	RBBP5	RBBP5_(A300-109A)	ENSG00000117222	None	std	2	2		24948364	22385269	60		0.25189234060592	35	0.2535059	1490	0.2368114	1.063683	0.9033484		0.897264	0.906615	10.837174		1.24245465071401	2.24324324324324	16173		7326	16096	7326	16434	16096		16173	12955				
20	1	wgEncodeBroadHistoneHelas3CtcfStdAlnRep1		0	0	0	0		Broad	Bernstein	HeLa-S3	CTCF	CTCF	ENSG00000102974	None	std	1	2		19733656	14640616	195		0.237538431818258	40	0.1887553	1500	0.1624108	1.462578	2.851737		0.741911	0.748138	4.018915		1.06770610850064	1.37696600710299	52836		35478	46820	35478	48852	46820		52836	49990				
21	1	wgEncodeBroadHistoneHelas3CtcfStdAlnRep2		0	0	0	0		Broad	Bernstein	HeLa-S3	CTCF	CTCF	ENSG00000102974	None	std	2	2		20429813	18339006	190		0.32694497839204	40	0.2325187	1485	0.1793581	1.822861	2.776245		0.897659	0.909213	11.855973		1.06770610850064	1.37696600710299	52836		48852	46820	35478	48852	46820		52836	49990				
22	0	wgEncodeBroadHistoneHelas3Ezh239875AlnRep1		1	0	0	1		Broad	Bernstein	HeLa-S3	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		35404997	30817395	225		0.313407780626401	35	0.3157947	1485	0.3060707	1.023972	0.7545308		0.870425	0.87309	7.779341		2.21506682867558	2.13745019920319	1823		1073	1823	502	1073	1823		1604	823				
23	0	wgEncodeBroadHistoneHelas3Ezh239875AlnRep2		1	0	0	1		Broad	Bernstein	HeLa-S3	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		24508664	21648576	375		0.242081844750752	35	0.2458134	1495	0.2361164	1.025265	0.6151883		0.883303	0.888831	9.049892		2.21506682867558	2.13745019920319	1823		502	1823	502	1073	1823		1604	823				
24	0	wgEncodeBroadHistoneHelas3Pol2bStdAlnRep1		0	0	1	0		Broad	Bernstein	HeLa-S3	POLR2A	Pol2(b)	ENSG00000177084	None	std	1	2		28568603	15741814	185		0.189692362399201	35	0.1916652	1495	0.1815046	1.04511	0.8058367		0.551018	0.544618	2.138029		1.06066176470588	2.4892578125	3164		1024	2176	1024	2549	2176		3164	2308				
25	-1	wgEncodeBroadHistoneHelas3Pol2bStdAlnRep2		1	0	0	0		Broad	Bernstein	HeLa-S3	POLR2A	Pol2(b)	ENSG00000177084	None	std	2	2		30270348	28069694	185		0.287915538804159	35	0.2930416	1495	0.2829201	1.017657	0.4935495		0.9273	0.93376	15.272848		1.06066176470588	2.4892578125	3164		2549	2176	1024	2549	2176		3164	2308				
26	0	wgEncodeBroadHistoneHepg2CtcfStdAlnRep1		0	1	0	0		Broad	Bernstein	HepG2	CTCF	CTCF	ENSG00000102974	None	std	1	2		2239490	2123070	155		0.17652909032393	40	0.07544256	1490	0.03032884	5.820502	3.240705		0.948015	0.949704	20.326508		1.28000948682221	42670	46487		1	33731	1	42670	33731		46487	43176				
27	1	wgEncodeBroadHistoneHepg2CtcfStdAlnRep2		0	0	0	0		Broad	Bernstein	HepG2	CTCF	CTCF	ENSG00000102974	None	std	2	2		13281902	12255251	150		0.276326452513731	40	0.1842283	1490	0.1321101	2.091637	2.767101		0.922703	0.929341	14.958081		1.28000948682221	42670	46487		42670	33731	1	42670	33731		46487	43176				
28	0	wgEncodeBroadHistoneHepg2Ezh239875AlnRep1		1	0	0	0		Broad	Bernstein	HepG2	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		17966620	12973571	385		0.172822392259477	35	0.1756502	1495	0.1660323	1.040896	0.7059819		0.722093	0.726326	3.729605		3.62486248624862	1.78034682080925	3295		2772	3295	1557	2772	3295		1418	909				
29	0	wgEncodeBroadHistoneHepg2Ezh239875AlnRep2		1	0	0	0		Broad	Bernstein	HepG2	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		41277749	36086453	205		0.353463877493473	35	0.3560767	1495	0.3455771	1.022822	0.7511476		0.874235	0.876869	8.010869		3.62486248624862	1.78034682080925	3295		1557	3295	1557	2772	3295		1418	909				
30	0	wgEncodeBroadHistoneHmecCtcfStdAlnRep1		0	1	0	0		Broad	Bernstein	HMEC	CTCF	CTCF	ENSG00000102974	None	std	1	2		6527343	5637829	125		0.231048993545625	40	0.1347492	1480	0.06344487	3.641729	2.350545		0.863725	0.866872	7.612568		1.06161322757234	1.01779154361449	40081		28260	35804	27766	28260	35804		40081	38010				
31	1	wgEncodeBroadHistoneHmecCtcfStdAlnRep2		0	0	0	0		Broad	Bernstein	HMEC	CTCF	CTCF	ENSG00000102974	None	std	2	2		13329048	11065429	125		0.162839905222946	35	0.1489155	1465	0.1284719	1.267514	1.681113		0.830174	0.82949	5.730985		1.06161322757234	1.01779154361449	40081		27766	35804	27766	28260	35804		40081	38010				
32	1	wgEncodeBroadHistoneHmecEzh239875AlnRep1		0	0	0	0		Broad	Bernstein	HMEC	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		24425449	22084514	200		0.252912731427001	35	0.2528471	1495	0.2379976	1.062669	1.004421		0.90416	0.913667	11.757135		1.0459196406289	1.98265394622723	4648		4572	4191	2306	4572	4191		4648	4007				
33	1	wgEncodeBroadHistoneHmecEzh239875AlnRep2		0	0	0	0		Broad	Bernstein	HMEC	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		29110045	26170396	155		0.275899314328241	35	0.2778698	1495	0.2650819	1.040808	0.8459137		0.899016	0.908452	11.027009		1.0459196406289	1.98265394622723	4648		2306	4191	2306	4572	4191		4648	4007				
34	1	wgEncodeBroadHistoneHsmmCtcfStdAlnRep1		0	0	0	0		Broad	Bernstein	HSMM	CTCF	CTCF	ENSG00000102974	None	std	1	2		12293644	9744323	120		0.462965236348739	40	0.2386973	1440	0.08466945	5.467913	2.456022		0.792631	0.814323	6.000192		1.01117860457268	1.19557153127247	50949		41576	47412	34775	41576	47412		50949	47942				
35	1	wgEncodeBroadHistoneHsmmCtcfStdAlnRep2		0	0	0	0		Broad	Bernstein	HSMM	CTCF	CTCF	ENSG00000102974	None	std	2	2		12917605	9881606	175		0.221407897667048	40	0.146996	1445	0.1099454	2.013799	3.008381		0.764972	0.766295	4.261694		1.01117860457268	1.19557153127247	50949		34775	47412	34775	41576	47412		50949	47942				
36	-1	wgEncodeBroadHistoneHsmmEzh239875AlnRep1		1	0	0	0		Broad	Bernstein	HSMM	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		33927418	27193267	190		0.278830409235963	35	0.2823314	1465	0.2736432	1.018956	0.5970395		0.801513	0.799583	4.789343		1.46401515151515	1.99623115577889	1546		796	1546	796	1589	1546		1388	1056				
37	0	wgEncodeBroadHistoneHsmmEzh239875AlnRep2		1	0	0	0		Broad	Bernstein	HSMM	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		20156385	17347935	190		0.199264628907974	35	0.2034417	1480	0.1937611	1.028403	0.5685083		0.860667	0.864239	7.28681		1.46401515151515	1.99623115577889	1546		1589	1546	796	1589	1546		1388	1056				
38	1	wgEncodeBroadHistoneHsmmtCtcfStdAlnRep1		0	0	1	0		Broad	Bernstein	HSMMtube	CTCF	CTCF	ENSG00000102974	None	std	1	2		13177270	7270954	175		0.20155184327396	40	0.1261191	1495	0.0860708	2.341698	2.883543		0.55178	0.535842	2.058998		1.00382375172291	1.24454021126304	47994		30862	44982	30862	38409	44982		47994	45154				
39	1	wgEncodeBroadHistoneHsmmtCtcfStdAlnRep2		0	0	0	0		Broad	Bernstein	HSMMtube	CTCF	CTCF	ENSG00000102974	None	std	2	2		17831101	15453823	130		0.280250303616072	40	0.2192805	1495	0.1583786	1.769496	2.001116		0.866678	0.873453	8.10181		1.00382375172291	1.24454021126304	47994		38409	44982	30862	38409	44982		47994	45154				
40	0	wgEncodeBroadHistoneHsmmtEzh239875AlnRep1		0	0	1	0		Broad	Bernstein	HSMMtube	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		11301225	3287978	290		0.05211713310608	35	0.0553697	1490	0.04492029	1.160214	0.6887319		0.29094	0.237075	1.404046		1.18294849023091	8.21341463414634	2741		164	2664	164	1347	2664		2741	2252				
41	0	wgEncodeBroadHistoneHsmmtEzh239875AlnRep2		1	0	1	0		Broad	Bernstein	HSMMtube	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		38095053	12256283	270		0.152232786953665	35	0.1568371	1500	0.1454234	1.046825	0.5965982		0.321729	0.270429	1.379462		1.18294849023091	8.21341463414634	2741		1347	2664	164	1347	2664		2741	2252				
42	1	wgEncodeBroadHistoneHuvecCtcfStdAlnRep1		0	0	0	0		Broad	Bernstein	HUVEC	CTCF	CTCF	ENSG00000102974	None	std	1	3		9545462	7071202	160		0.229895795288607	40	0.1250449	1445	0.07969235	2.884791	3.311904		0.740792	0.742176	3.885774		1.03092813670412	30003	37440		30003	34176;6991	1	30003	34176		37440	35233				
43	0	wgEncodeBroadHistoneHuvecCtcfStdAlnRep2		0	1	1	0		Broad	Bernstein	HUVEC	CTCF	CTCF	ENSG00000102974	None	std	2	3		7037544	4628213	200		0.216547538919244	40	0.1012637	1490	0.05676264	3.814966	3.590588		0.657646	0.640945	2.616759		1.03092813670412	22661	37440		22661	34176;12668	1	30003	34176		37440	35233				
44	-1	wgEncodeBroadHistoneHuvecCtcfStdAlnRep3		0	1	0	1		Broad	Bernstein	HUVEC	CTCF	CTCF	ENSG00000102974	None	std	3	3		1552259	1264594	200		0.102289720334285	40	0.04054328	1475	0.01777976	5.753156	3.712518		0.81468	0.821034	5.763872		2.78125986738238	30003	37440		1	6991;12668	1	30003	12668		37440	35233				
45	1	wgEncodeBroadHistoneHuvecEzh239875AlnRep1		0	0	0	0		Broad	Bernstein	HUVEC	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		29985881	26503201	170		0.349081730405865	35	0.3472538	1495	0.3102715	1.125085	1.049427		0.883856	0.889852	9.25566		1.0061305445366	1.36899249560913	6239		6263	5546	6263	8574	5546		6239	5580				
46	1	wgEncodeBroadHistoneHuvecEzh239875AlnRep2		0	0	1	0		Broad	Bernstein	HUVEC	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		27402738	14640516	110		0.193893641535015	35	0.1870425	1490	0.1735462	1.117245	1.507628		0.534272	0.504343	1.866974		1.0061305445366	1.36899249560913	6239		8574	5546	6263	8574	5546		6239	5580				
47	0	wgEncodeBroadHistoneHuvecPol2bStdAlnRep1		0	0	1	0		Broad	Bernstein	HUVEC	POLR2A	Pol2(b)	ENSG00000177084	None	std	1	3		13036772	7344187	170		0.113255469157864	35	0.113138	1485	0.09839644	1.151012	1.007968		0.563344	0.554094	2.195077		1.36345108695652	23.8857142857143	5325		1672	2944;493	70	1672	2944		5325	4014				
48	0	wgEncodeBroadHistoneHuvecPol2bStdAlnRep2		0	1	0	0		Broad	Bernstein	HUVEC	POLR2A	Pol2(b)	ENSG00000177084	None	std	2	3		7002356	6164384	190		0.0877842047228	35	0.090971	1485	0.08007199	1.096316	0.7076069		0.88033	0.881053	8.353035		1.36345108695652	6.68571428571428	5325		468	2944;462	70	1672	2944		5325	4014				
49	-1	wgEncodeBroadHistoneHuvecPol2bStdAlnRep3		0	1	0	1		Broad	Bernstein	HUVEC	POLR2A	Pol2(b)	ENSG00000177084	None	std	3	3		1718261	1518484	160		0.025889319032737	35	0.03144331	1475	0.02152102	1.202978	0.4402508		0.883733	0.888752	9.318658		8.14198782961461	23.8857142857143	5325		70	493;462	70	1672	493		5325	4014				
50	1	wgEncodeBroadHistoneK562Chd1a301218aStdAlnRep1		0	0	0	0		Broad	Bernstein	K562	CHD1	CHD1_(A301-218A)	ENSG00000153922	None	std	1	2		26485166	22414078	80		0.265215436496183	35	0.2648313	1495	0.2450149	1.082446	1.019387		0.846288	0.862566	7.288895		1.05730416372618	10.4302575107296	9397		9721	7491	932	9721	7491		9397	7085				
51	0	wgEncodeBroadHistoneK562Chd1a301218aStdAlnRep2		0	0	1	0		Broad	Bernstein	K562	CHD1	CHD1_(A301-218A)	ENSG00000153922	None	std	2	2		18631124	6839206	155		0.110473213690105	35	0.1088444	1495	0.0915976	1.206071	1.094443		0.367085	0.317439	1.305807		1.05730416372618	10.4302575107296	9397		932	7491	932	9721	7491		9397	7085				
52	1	wgEncodeBroadHistoneK562CtcfStdAlnRep1		0	0	0	0		Broad	Bernstein	K562	CTCF	CTCF	ENSG00000102974	None	std	1	2		11614567	9197204	180		0.278765064183242	40	0.1608138	1490	0.1044795	2.668131	3.093777		0.791868	0.798099	5.053954		1.0176664605236	1.14163537755528	52078		33558	49367	33558	38311	49367		52078	48510				
53	1	wgEncodeBroadHistoneK562CtcfStdAlnRep2		0	0	0	0		Broad	Bernstein	K562	CTCF	CTCF	ENSG00000102974	None	std	2	2		11555904	9742794	220		0.297785452542877	40	0.1796032	1500	0.108487	2.744895	2.661818		0.843101	0.846681	6.585016		1.0176664605236	1.14163537755528	52078		38311	49367	33558	38311	49367		52078	48510				
54	0	wgEncodeBroadHistoneK562Ezh239875StdAlnRep1		1	0	0	1		Broad	Bernstein	K562	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		36875229	34841781	115		0.336285144297526	35	0.338657	1485	0.3294166	1.020851	0.7433203		0.944856	0.950806	20.716056		3.17448405253283	9.02673796791444	1692		374	1692	374	3376	1692		974	533				
55	1	wgEncodeBroadHistoneK562Ezh239875StdAlnRep2		0	0	0	1		Broad	Bernstein	K562	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		21429041	18338030	155		0.222429558227024	35	0.2206149	1460	0.2117164	1.050602	1.203931		0.855756	0.85484	6.769806		3.17448405253283	9.02673796791444	1692		3376	1692	374	3376	1692		974	533				
56	1	wgEncodeBroadHistoneK562Hdac1sc6298StdAlnRep1		0	0	0	1		Broad	Bernstein	K562	HDAC1	HDAC1_(SC-6298)	ENSG00000116478	None	std	1	2		26150007	18328252	85		0.250622254064333	35	0.2428753	1500	0.211389	1.185597	1.246043		0.700889	0.705242	3.428952		2.0926517571885	10.3690671031097	11865		12671	4382	1222	12671	4382		11865	9170				
57	0	wgEncodeBroadHistoneK562Hdac1sc6298StdAlnRep2		0	0	1	1		Broad	Bernstein	K562	HDAC1	HDAC1_(SC-6298)	ENSG00000116478	None	std	2	2		22208006	13738850	175		0.178442705164676	35	0.1744093	1450	0.1636671	1.090279	1.375468		0.618644	0.592948	2.224178		2.0926517571885	10.3690671031097	11865		1222	4382	1222	12671	4382		11865	9170				
58	1	wgEncodeBroadHistoneK562Hdac2a300705aStdAlnRep1		0	0	1	0		Broad	Bernstein	K562	HDAC2	HDAC2_(A300-705A)	ENSG00000196591	None	std	1	2		24916049	12898391	105		0.179248720756196	35	0.1743353	1495	0.1594624	1.124082	1.330362		0.517674	0.502922	1.949882		1.04182399070578	1.73952641165756	5280		1910	3587	1098	1910	3587		5280	3443				
59	1	wgEncodeBroadHistoneK562Hdac2a300705aStdAlnRep2		0	0	0	0		Broad	Bernstein	K562	HDAC2	HDAC2_(A300-705A)	ENSG00000196591	None	std	2	2		15680325	13094122	105		0.1742519773182	35	0.1731317	1490	0.1607859	1.083752	1.090744		0.835067	0.83731	6.095633		1.04182399070578	1.73952641165756	5280		1098	3587	1098	1910	3587		5280	3443				
60	1	wgEncodeBroadHistoneK562Hdac6a301341aAlnRep1		0	0	0	0		Broad	Bernstein	K562	HDAC6	HDAC6_(A301-341A)	ENSG00000094631	None	std	1	2		25748870	19070798	90		0.227747197068843	35	0.2252545	1480	0.2131308	1.068579	1.20561		0.740646	0.741202	3.808151		1.09888751545117	1.82957393483709	1151		730	889	399	730	889		1151	809				
61	0	wgEncodeBroadHistoneK562Hdac6a301341aAlnRep2		0	0	1	0		Broad	Bernstein	K562	HDAC6	HDAC6_(A301-341A)	ENSG00000094631	None	std	2	2		14005912	9317363	120		0.136477006428374	35	0.1316571	1495	0.1191273	1.14564	1.38467		0.665245	0.656042	2.797871		1.09888751545117	1.82957393483709	1151		399	889	399	730	889		1151	809				
62	1	wgEncodeBroadHistoneK562P300StdAlnRep1		0	0	0	0		Broad	Bernstein	K562	EP300	p300	ENSG00000100393	None	std	1	2		27792559	19948665	85		0.238116300523669	35	0.2339824	1485	0.2191556	1.086517	1.278813		0.71777	0.714062	3.36763		1.51072386058981	1.16107784431138	2719		1939	1492	1670	1939	1492		2719	2254				
63	0	wgEncodeBroadHistoneK562P300StdAlnRep2		1	0	0	0		Broad	Bernstein	K562	EP300	p300	ENSG00000100393	None	std	2	2		64842100	60061033	185		0.462716450166176	35	0.4653501	1470	0.4547364	1.017549	0.751864		0.926266	0.939756	16.96345		1.51072386058981	1.16107784431138	2719		1670	1492	1670	1939	1492		2719	2254				
64	1	wgEncodeBroadHistoneK562Phf8a301772aStdAlnRep1		0	0	1	0		Broad	Bernstein	K562	PHF8	PHF8_(A301-772A)	ENSG00000172943	None	std	1	2		24928318	14873431	125		0.42640308216634	40	0.3565286	1500	0.1500134	2.842433	1.33835		0.596648	0.620536	2.686233		1.02296529375851	1.06605377829737	22358		20061	21782	18818	20061	21782		22358	21293				
65	1	wgEncodeBroadHistoneK562Phf8a301772aStdAlnRep2		0	0	0	0		Broad	Bernstein	K562	PHF8	PHF8_(A301-772A)	ENSG00000172943	None	std	2	2		17725840	12314354	125		0.428211558309358	40	0.3481417	1500	0.1270249	3.371082	1.362116		0.694712	0.72089	3.764848		1.02296529375851	1.06605377829737	22358		18818	21782	18818	20061	21782		22358	21293				
66	1	wgEncodeBroadHistoneK562Plu1StdAlnRep1		0	0	1	0		Broad	Bernstein	K562	KDM5B	PLU1	ENSG00000117139	None	std	1	2		24694851	15381484	70		0.203296865612051	35	0.1978891	1500	0.1829068	1.111478	1.360945		0.622862	0.622405	2.634814		1.38340122199593	12.1407035175879	15562		1393	9820	1393	16912	9820		15562	13585				
