#Assay	Cell	Target	Treatment	Identifier	N_uniq map reads	MACS FDR 0.01	Self Cons IDR 0.02	Rep Cons IDR 0.01	SPOT	PBC	NSC	RSC	Under seq	Diff rep	Manual low S/N	Auto low S/N	Revoke flag
TF-ChIP-seq	Gliobla	CTCF	None	wgEncodeOpenChromChipGlioblaCtcfAlnRep1	46897611	44622	50351	42599	0.4068	0.69	3.37	2.32	0	0	0	0	
TF-ChIP-seq	Gliobla	CTCF	None	wgEncodeOpenChromChipGlioblaCtcfAlnRep2	42756182	42407	50546	42599	0.3504	0.7	3.03	2.24	0	0	0	0	
TF-ChIP-seq	Gliobla	POL2	None	wgEncodeOpenChromChipGlioblaPol2AlnRep1	16599527	32184	13562	14101	0.0899	0.9	1.28	1.42	0	0	0	0	
TF-ChIP-seq	Gliobla	POL2	None	wgEncodeOpenChromChipGlioblaPol2AlnRep2	13228309	44332	17554	14101	0.1955	0.84	1.91	1.41	0	0	0	0	
TF-ChIP-seq	GM06990	CTCF	None	wgEncodeUwTfbsGm06990CtcfStdAlnRep1	17894324	78349	52178	41661	0.3476	0.38	3.43	2.59	0	0	0	0	
TF-ChIP-seq	GM06990	CTCF	None	wgEncodeUwTfbsGm06990CtcfStdAlnRep2	21008225	53415	52446	41661	0.3270	0.42	3.05	2.56	0	0	0	0	
TF-ChIP-seq	GM10847	NFKB	None	wgEncodeSydhTfbsGm10847NfkbIggrabAlnRep1	9399527	7919	2508	1724	0.0116	0.98	1.05	0.46	0	0	1	1	
TF-ChIP-seq	GM10847	NFKB	None	wgEncodeSydhTfbsGm10847NfkbIggrabAlnRep2	7926481	7324	2096	1220	0.0074	0.98	1.04	0.42	1	0	1	1	
TF-ChIP-seq	GM10847	NFKB	None	wgEncodeSydhTfbsGm10847NfkbIggrabAlnRep3	3753485	52049	1639	2687	0.0150	0.98	1.14	0.41	1	0	1	0	
TF-ChIP-seq	GM10847	NFKB	None	wgEncodeSydhTfbsGm10847NfkbIggrabAlnRep4	9341555	6425	3448	5913	0.0160	0.99	1.06	0.66	0	0	1	1	
TF-ChIP-seq	GM10847	NFKB	None	wgEncodeSydhTfbsGm10847NfkbIggrabAlnRep5	10145880	18381	8452	5913	0.0616	0.98	1.17	1.07	0	0	0	0	
TF-ChIP-seq	GM10847	POL2	None	wgEncodeSydhTfbsGm10847Pol2IggmusAlnRep1	4270461	33104	15048		0.3278	0.94	2.60	1.47	1	0	0	0	
TF-ChIP-seq	GM12801	CTCF	None	wgEncodeUwTfbsGm12801CtcfStdAlnRep1	5069611	80277	15057		0.0724	0.99	1.32	1.78	1	0	0	0	
TF-ChIP-seq	GM12864	CTCF	None	wgEncodeUwTfbsGm12864CtcfStdAlnRep1	11080713	48216	39667	35761	0.3514	0.94	4.30	1.48	0	0	0	0	
TF-ChIP-seq	GM12864	CTCF	None	wgEncodeUwTfbsGm12864CtcfStdAlnRep2	14720966	54754	38685	35761	0.2383	0.63	2.72	1.59	0	0	0	0	
TF-ChIP-seq	GM12865	CTCF	None	wgEncodeUwTfbsGm12865CtcfStdAlnRep1	12504684	142615	42576	33371	0.2892	0.56	3.60	1.68	0	0	0	0	
TF-ChIP-seq	GM12865	CTCF	None	wgEncodeUwTfbsGm12865CtcfStdAlnRep2	9459639	50726	36476	33371	0.3642	0.94	5.26	1.47	0	0	0	0	
TF-ChIP-seq	GM12872	CTCF	None	wgEncodeUwTfbsGm12872CtcfStdAlnRep1	10825709	44706	38348	34092	0.3212	0.95	3.90	1.45	0	0	0	0	
TF-ChIP-seq	GM12872	CTCF	None	wgEncodeUwTfbsGm12872CtcfStdAlnRep2	13433686	39866	35469	34092	0.1753	0.75	1.87	2	0	0	0	0	
TF-ChIP-seq	GM12873	CTCF	None	wgEncodeUwTfbsGm12873CtcfStdAlnRep1	10790731	51105	39559	37036	0.4049	0.93	5.30	1.5	0	0	0	0	
TF-ChIP-seq	GM12873	CTCF	None	wgEncodeUwTfbsGm12873CtcfStdAlnRep2	13230623	85132	44820	37036	0.2875	0.57	3.38	1.83	0	0	0	0	
TF-ChIP-seq	GM12874	CTCF	None	wgEncodeUwTfbsGm12874CtcfStdAlnRep1	11273925	82725	43786	33098	0.3284	0.53	4.26	1.66	0	0	0	0	
TF-ChIP-seq	GM12874	CTCF	None	wgEncodeUwTfbsGm12874CtcfStdAlnRep2	11241232	47495	39857	33098	0.3303	0.95	3.96	1.49	0	0	0	0	
TF-ChIP-seq	GM12875	CTCF	None	wgEncodeUwTfbsGm12875CtcfStdAlnRep1	11500464	43856	40917	29522	0.3373	0.94	4.03	1.5	0	0	0	0	
TF-ChIP-seq	GM12875	CTCF	None	wgEncodeUwTfbsGm12875CtcfStdAlnRep2	8898036	45708	29136	29522	0.1810	0.73	2.41	1.7	0	0	0	0	
TF-ChIP-seq	GM12878	ATF3	None	wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep1	14628751	291793	58301	202	0.0772	0.26	1.83	5.37	0	0	0	0	
TF-ChIP-seq	GM12878	ATF3	None	wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep2	12641385	2	4054	202	0.0125	0.96	1.04	0.61	0	1	1	1	
TF-ChIP-seq	GM12878	BATF	None	wgEncodeHaibTfbsGm12878BatfPcr1xAlnRep1	17311865	197536	26067	33054	0.1072	0.95	1.43	1.41	0	0	0	0	
TF-ChIP-seq	GM12878	BATF	None	wgEncodeHaibTfbsGm12878BatfPcr1xAlnRep2	18226904	182275	48354	33054	0.2641	0.96	2.25	1.46	0	0	0	0	
TF-ChIP-seq	GM12878	BCL11A	None	wgEncodeHaibTfbsGm12878Bcl11aPcr1xAlnRep1	17247892	300000	17679	17332	0.0771	0.92	1.21	1.1	0	0	0	0	
TF-ChIP-seq	GM12878	BCL11A	None	wgEncodeHaibTfbsGm12878Bcl11aPcr1xAlnRep2	19552190	200926	25055	17332	0.1082	0.97	1.20	1.17	0	0	0	0	
TF-ChIP-seq	GM12878	BCL3	None	wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep1	16528439	300000	9090	2521	0.0502	0.95	1.08	0.73	0	1	1	1	R
TF-ChIP-seq	GM12878	BCL3	None	wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep2	25583072	192229	20511	2521	0.0808	0.97	1.12	0.85	0	0	0	0	R
TF-ChIP-seq	GM12878	BCLAF1	None	wgEncodeHaibTfbsGm12878Bclaf1m33V0416101AlnRep1	12825164	25	2992	4	0.0149	0.96	1.04	0.57	0	1	1	1	
TF-ChIP-seq	GM12878	BCLAF1	None	wgEncodeHaibTfbsGm12878Bclaf1m33V0416101AlnRep2	24872821	19	23948	4	0.1375	0.98	1.09	1.26	0	0	0	0	
TF-ChIP-seq	GM12878	BRCA1	None	wgEncodeSydhTfbsGm12878Brca1cIggmusAlnRep1	15464063	361	861	1056	0.0075	0.98	1.06	1	0	0	1	0	
TF-ChIP-seq	GM12878	BRCA1	None	wgEncodeSydhTfbsGm12878Brca1cIggmusAlnRep2	20653477	163	885	1056	0.0066	0.97	1.05	1.04	0	0	1	0	
TF-ChIP-seq	GM12878	CFOS	None	wgEncodeSydhTfbsGm12878CfosStdAlnRep1	2701789	318	954	1085	0.0190	0.98	1.26	0.75	1	0	1	0	
TF-ChIP-seq	GM12878	CFOS	None	wgEncodeSydhTfbsGm12878CfosStdAlnRep2	3529026	3001	2584	1321	0.0589	0.95	2.32	1.82	1	0	0	0	
TF-ChIP-seq	GM12878	CFOS	None	wgEncodeSydhTfbsGm12878CfosStdAlnRep3	3593777	425	964	1321	0.0160	0.96	1.18	0.58	1	0	1	0	
TF-ChIP-seq	GM12878	CHD2	None	wgEncodeSydhTfbsGm12878Chd21250IggmusAlnRep1	18252701	10589	12190	12554	0.0966	0.97	1.26	1.69	0	0	0	0	
TF-ChIP-seq	GM12878	CHD2	None	wgEncodeSydhTfbsGm12878Chd21250IggmusAlnRep2	14022535	12088	9810	12554	0.0885	0.98	1.27	1.38	0	1	0	0	
TF-ChIP-seq	GM12878	CMYC	None	wgEncodeOpenChromChipGm12878CmycAlnRep1	10617292	16803	5442	3842	0.0310	0.84	1.06	0.4	0	0	1	1	
TF-ChIP-seq	GM12878	CMYC	None	wgEncodeOpenChromChipGm12878CmycAlnRep2	11907004	98057	16206	3842	0.0323	0.49	1.20	1.44	0	0	1	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeBroadHistoneGm12878CtcfStdAlnRep1	10973081	48693	36686	35051	0.2586	0.81	2.21	3.24	0	0	0	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeBroadHistoneGm12878CtcfStdAlnRep2	19258033	35984	34170	35051	0.1873	0.93	1.75	2.88	0	0	0	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeOpenChromChipGm12878CtcfAlnRep1	7029958	60851	39467	40670	0.3944	0.91	7.34	3.98	1	0	0	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeOpenChromChipGm12878CtcfAlnRep2	5927829	63167	34232	38616	0.2992	0.95	5.13	2.67	1	0	0	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeOpenChromChipGm12878CtcfAlnRep3	13503413	53423	44324	40670	0.3577	0.77	5.47	3.33	0	0	0	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep1	22282063	37727	44439	36567	0.5067	0.85	8.02	2.11	0	0	0	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep2	11467438	29016	34014	36567	0.3187	0.93	4.20	2.23	0	0	0	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeUwTfbsGm12878CtcfStdAlnRep1	7271004	90779	36978	30648	0.2673	0.61	3.13	2.22	1	0	0	0	
TF-ChIP-seq	GM12878	CTCF	None	wgEncodeUwTfbsGm12878CtcfStdAlnRep2	16132570	40892	35995	30648	0.2597	0.95	3.19	1.48	0	0	0	0	
TF-ChIP-seq	GM12878	EBF1	None	wgEncodeHaibTfbsGm12878Ebf1c8Pcr1xAlnRep1	29459119	84763	40151	26620	0.1724	0.93	1.52	1.42	0	0	0	0	R
TF-ChIP-seq	GM12878	EBF1	None	wgEncodeHaibTfbsGm12878Ebf1c8Pcr1xAlnRep2	16311209	164835	45574	26620	0.3007	0.95	2.23	1.46	0	0	0	0	R
TF-ChIP-seq	GM12878	EBF1	None	wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep1	29459119	84763	40334	26801	0.1726	0.93	1.52	1.42	0	0	0	0	D
TF-ChIP-seq	GM12878	EBF1	None	wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep2	16311209	164835	45829	26801	0.3011	0.95	2.23	1.46	0	0	0	0	D
TF-ChIP-seq	GM12878	EBF1	None	wgEncodeSydhTfbsGm12878EbfStdAlnRep1	19268775	5773	12554	13975	0.1191	0.94	1.61	1.71	0	0	0	0	
TF-ChIP-seq	GM12878	EBF1	None	wgEncodeSydhTfbsGm12878EbfStdAlnRep2	21439346	18427	25129	13975	0.2848	0.92	2.45	1.55	0	0	0	0	
TF-ChIP-seq	GM12878	EGR1	None	wgEncodeHaibTfbsGm12878Egr1Pcr2xAlnRep1	16821353	645	2053	1733	0.0118	0.94	1.11	0.6	0	0	1	0	R
TF-ChIP-seq	GM12878	EGR1	None	wgEncodeHaibTfbsGm12878Egr1Pcr2xAlnRep2	20327498	2	2046	1733	0.0115	0.92	1.11	0.81	0	0	1	0	R
TF-ChIP-seq	GM12878	EGR1	None	wgEncodeHaibTfbsGm12878Egr1V0416101AlnRep1	17284133	255340	16510	14120	0.0858	0.56	1.31	1.72	0	0	0	0	D
TF-ChIP-seq	GM12878	EGR1	None	wgEncodeHaibTfbsGm12878Egr1V0416101AlnRep2	21983698	56	20055	14120	0.1086	0.81	1.38	1.47	0	0	0	0	D
TF-ChIP-seq	GM12878	ELF1	None	wgEncodeHaibTfbsGm12878Elf1sc631V0416101AlnRep1	18083328	299862	29868	14993	0.2160	0.55	1.68	1.88	0	0	0	0	
TF-ChIP-seq	GM12878	ELF1	None	wgEncodeHaibTfbsGm12878Elf1sc631V0416101AlnRep2	18940537	32560	26707	14993	0.2986	0.8	2.05	2.05	0	0	0	0	
TF-ChIP-seq	GM12878	ETS1	None	wgEncodeHaibTfbsGm12878Ets1Pcr1xAlnRep1	12457305	252	4603	485	0.0198	0.88	1.11	1.47	0	1	0	0	
TF-ChIP-seq	GM12878	ETS1	None	wgEncodeHaibTfbsGm12878Ets1Pcr1xAlnRep2	15948094	150020	8460	485	0.0414	0.76	1.16	2.45	0	0	0	0	
TF-ChIP-seq	GM12878	GABP	None	wgEncodeHaibTfbsGm12878GabpPcr2xAlnRep1	18487102	2683	3863	3995	0.0746	0.95	1.44	1.08	0	0	0	0	
TF-ChIP-seq	GM12878	GABP	None	wgEncodeHaibTfbsGm12878GabpPcr2xAlnRep2	29318541	2388	4117	3995	0.0797	0.96	1.25	1.1	0	0	0	0	
TF-ChIP-seq	GM12878	GCN5	None	wgEncodeSydhTfbsGm12878Gcn5StdAlnRep1	14069881	0	344	142	0.0012	0.96	1.02	0.4	0	0	1	1	
TF-ChIP-seq	GM12878	GCN5	None	wgEncodeSydhTfbsGm12878Gcn5StdAlnRep2	14163750	0	571	142	0.0013	0.92	1.03	0.63	0	0	1	1	
TF-ChIP-seq	GM12878	IRF3	None	wgEncodeSydhTfbsGm12878Irf3StdAlnRep1	15293874	14	436	118	0.0033	0.89	1.06	1.04	0	0	1	0	
TF-ChIP-seq	GM12878	IRF3	None	wgEncodeSydhTfbsGm12878Irf3StdAlnRep2	20472981	0	180	118	0.0013	0.95	1.02	0.61	0	0	1	1	
TF-ChIP-seq	GM12878	IRF4	None	wgEncodeHaibTfbsGm12878Irf4m17Pcr1xAlnRep1	16674310	250879	20525	28116	0.0904	0.97	1.11	0.96	0	0	0	0	R
TF-ChIP-seq	GM12878	IRF4	None	wgEncodeHaibTfbsGm12878Irf4m17Pcr1xAlnRep2	19300634	188177	23025	28116	0.1066	0.98	1.15	1.23	0	0	0	0	R
TF-ChIP-seq	GM12878	IRF4	None	wgEncodeHaibTfbsGm12878Irf4Pcr1xAlnRep1	16674310	250879	21012	28101	0.0916	0.97	1.11	0.96	0	0	0	0	D
TF-ChIP-seq	GM12878	IRF4	None	wgEncodeHaibTfbsGm12878Irf4Pcr1xAlnRep2	19300634	188177	22838	28101	0.1062	0.98	1.15	1.23	0	0	0	0	D
TF-ChIP-seq	GM12878	JUND	None	wgEncodeSydhTfbsGm12878JundStdAlnRep1	3522377	0	1666	2645	0.0123	0.99	1.09	0.55	1	0	1	0	
TF-ChIP-seq	GM12878	JUND	None	wgEncodeSydhTfbsGm12878JundStdAlnRep2	4293269	0	3127	2645	0.0221	0.98	1.14	0.72	1	0	1	0	
TF-ChIP-seq	GM12878	MAX	None	wgEncodeSydhTfbsGm12878MaxStdAlnRep1	5417070	67	1085	1653	0.0083	0.99	1.08	0.65	1	0	1	1	
TF-ChIP-seq	GM12878	MAX	None	wgEncodeSydhTfbsGm12878MaxStdAlnRep2	6137943	632	2200	1653	0.0137	0.99	1.11	0.84	1	0	1	0	
TF-ChIP-seq	GM12878	MEF2A	None	wgEncodeHaibTfbsGm12878Mef2aPcr1xAlnRep1	11094785	290122	23390	15083	0.1573	0.74	1.53	1.92	0	0	0	0	
TF-ChIP-seq	GM12878	MEF2A	None	wgEncodeHaibTfbsGm12878Mef2aPcr1xAlnRep2	18939920	292244	20403	15083	0.0941	0.56	1.41	2.67	0	0	0	0	
TF-ChIP-seq	GM12878	MEF2C	None	wgEncodeHaibTfbsGm12878Mef2csc13268Pcr1xAlnRep1	10644806	274875	2460	3099	0.0118	0.72	1.25	3.31	0	1	0	0	
TF-ChIP-seq	GM12878	MEF2C	None	wgEncodeHaibTfbsGm12878Mef2csc13268V0416101AlnRep2	16954084	33	15472	3099	0.0756	0.86	1.20	1.67	0	0	0	0	
TF-ChIP-seq	GM12878	NFE2	None	wgEncodeSydhTfbsGm12878Nfe2hStdAlnRep1	12472651	0	334	318	0.0028	0.99	1.03	0.88	0	0	1	1	
TF-ChIP-seq	GM12878	NFE2	None	wgEncodeSydhTfbsGm12878Nfe2hStdAlnRep2	12889035	27	623	318	0.0058	0.91	1.09	1.05	0	0	1	0	
TF-ChIP-seq	GM12878	NFKB	None	wgEncodeSydhTfbsGm12878NfkbIggrabAlnRep1	19193853	1270	2742	4036	0.0092	0.92	1.03	0.54	0	1	1	1	
TF-ChIP-seq	GM12878	NFKB	None	wgEncodeSydhTfbsGm12878NfkbIggrabAlnRep2	13425449	55359	14793	6881	0.0781	0.98	1.16	1.23	0	0	0	0	
TF-ChIP-seq	GM12878	NFKB	None	wgEncodeSydhTfbsGm12878NfkbIggrabAlnRep3	10421580	73522	6052	7631	0.0306	0.98	1.08	0.73	0	0	1	1	
TF-ChIP-seq	GM12878	NFKB	None	wgEncodeSydhTfbsGm12878NfkbIggrabAlnRep4	9633381	90835	5243	7631	0.0327	0.96	1.10	0.7	0	0	1	0	
TF-ChIP-seq	GM12878	NRF1	None	wgEncodeSydhTfbsGm12878Nrf1IggmusAlnRep1	12231442	2468	6200	5438	0.0487	0.9	1.47	1.26	0	0	0	0	
TF-ChIP-seq	GM12878	NRF1	None	wgEncodeSydhTfbsGm12878Nrf1IggmusAlnRep2	25674842	2188	4938	5438	0.0273	0.95	1.15	1.43	0	0	0	0	
TF-ChIP-seq	GM12878	NRSF	None	wgEncodeHaibTfbsGm12878NrsfPcr2xAlnRep1	17130191	3413	4891	4654	0.1196	0.94	1.45	1.17	0	0	0	0	
TF-ChIP-seq	GM12878	NRSF	None	wgEncodeHaibTfbsGm12878NrsfPcr2xAlnRep2	14793125	3981	5188	4654	0.0874	0.94	1.43	1.1	0	0	0	0	
TF-ChIP-seq	GM12878	OCT2	None	wgEncodeHaibTfbsGm12878Oct2Pcr1xAlnRep1	26036076	297249	17659	16978	0.0807	0.87	1.11	0.97	0	1	0	0	
TF-ChIP-seq	GM12878	OCT2	None	wgEncodeHaibTfbsGm12878Oct2Pcr1xAlnRep2	46916117	86026	32051	16978	0.1296	0.92	1.12	1.3	0	0	0	0	
