GCF_946900835.1_NSPWAT	347 Nitrospina watsonii 2023
GCF_000160455.2_ASM16045v2	Acetomicrobium hydrogeniformans ATCC BAA-1850 (OS1 2015)
GCF_900107215.1_IMG-taxon_2599185146_annotated_assembly	Acetomicrobium thermoterrenum (DSM 13490 2016)
GCF_000219125.1_ASM21912v1	Acetonema longum (DSM 6540 2011)
GCF_000687735.1_ASM68773v1	Acholeplasma equifetale (ATCC 29724 2014)
GCF_017052655.1_ASM1705265v1	Acholeplasma equirhinis (N93 2021)
GCF_000526235.1_ASM52623v1	Acholeplasma granularum (ATCC 19168 2014)
GCF_000018785.1_ASM1878v1	Acholeplasma laidlawii (PG-8A 2007)
GCF_000483165.1_ASM48316v1	Acholeplasma multilocale (ATCC 49900 2013)
GCF_902859965.1_LMG_26854	Achromobacter aegrifaciens (LMG 26854 LMG 26854 2020)
GCF_900496965.1_LMG_3411T	Achromobacter agilis (LMG 3411 LMG 3411 2019)
GCF_004121055.1_ASM412105v1	Achromobacter aloeverae (AVA-1 2019)
GCF_902860125.1_LMG_26691	Achromobacter animicus (LMG 26691 LMG 26691 2020)
GCF_903652925.1_LMG_26857	Achromobacter anxifer (LMG 26857 LMG 26857 2020)
GCF_000236785.1_ASM23678v2	Achromobacter arsenitoxydans (SY8 2011)
GCF_902859705.1_LMG_3458	Achromobacter deleyi (LMG 3458 LMG 3458 2020)
GCF_013267395.1_ASM1326739v1	Achromobacter denitrificans (FDAARGOS_786 2020)
GCF_902860115.1_LMG_26841	Achromobacter dolens (LMG 26841 LMG 26841 2020)
GCF_900637265.1_50432_C01	Achromobacter insolitus (NCTC13520 2018)
GCF_902859645.1_LMG_26845	Achromobacter insuavis (LMG 26845 LMG 26845 2020)
GCF_902859595.1_LMG_3441	Achromobacter kerstersii (LMG 3441 LMG 3441 2020)
GCF_902859635.1_LMG_26219	Achromobacter marplatensis (LMG 26219 LMG 26219 2020)
GCF_029866465.1_ASM2986646v1	Achromobacter mucicolens (Y3 2023)
GCF_902859625.1_LMG_3431	Achromobacter pestifer (LMG 3431 LMG 3431 2020)
GCF_902859685.1_LMG_1873	Achromobacter piechaudii (LMG 1873 LMG 1873 2020)
GCF_021733725.1_ASM2173372v1	Achromobacter pulmonis (NFZ2 2022)
GCF_002082135.1_ASM208213v1	Achromobacter ruhlandii (SCCH3:ACH 33-1365 2016)
GCF_030864005.1_ASM3086400v1	Achromobacter seleniivolatilans (R39 2023)
GCF_002812705.1_ASM281270v1	Achromobacter spanius (DSM 23806 2017)
GCF_037619525.1_ASM3761952v1	Achromobacter veterisilvae (AB1 2024)
GCF_016728825.1_ASM1672882v1	Achromobacter xylosoxidans (FDAARGOS_1091 2021)
GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly	Acidaminobacter hydrogenoformans (DSM 2784 2016)
GCF_000025305.1_ASM2530v1	Acidaminococcus fermentans (DSM 20731 2010)
GCF_021044795.1_ASM2104479v1	Acidaminococcus hominis (NSJ-142 2021)
GCF_025144545.1_ASM2514454v1	Acidaminococcus intestini (D21 2022)
GCF_900095825.1_PRJEB15304	Acidaminococcus massiliensis (Marseille-P2828 2016)
GCF_900291475.1_PRJEB23928	Acidaminococcus provencensis (Marseille-P4266 2018)
GCF_900106585.1_PRJEB16534	Acidaminococcus timonensis (Marseille-P2764T 2016)
GCF_003352165.1_ASM335216v1	Acidibrevibacterium fodinaquatile (G45-3 2018)
GCF_025685625.1_ASM2568562v1	Acidicapsa acidisoli (SK-11 2022)
GCF_025685685.1_ASM2568568v1	Acidicapsa dinghuensis (4GSKX 2022)
GCF_025685655.1_ASM2568565v1	Acidicapsa ligni (WH120 2022)
GCF_902729405.1_GenomeAssemblyPeptococcaceaeBacteriumINE	Acididesulfobacillus acetoxydans (PacBioINE 2022)
GCF_001705075.2_ASM170507v2	Acidiferrobacter thiooxydans (ZJ 2021)
GCF_001753165.1_ASM175316v1	Acidihalobacter aeolianus (V6 2016)
GCF_001975725.1_ASM197572v1	Acidihalobacter ferrooxydans (V8 2017)
GCF_000754095.2_ASM75409v2	Acidihalobacter prosperus (DSM 5130 2016)
GCF_001753245.1_ASM175324v1	Acidihalobacter yilgarnensis (F5 2016)
GCF_009909615.1_ASM990961v1	Acidiluteibacter ferrifornacis (S-15 2020)
GCF_004103715.1_ASM410371v1	Acidilutibacter cellobiosedens (JN-28 2019)
GCF_042643245.1_ASM4264324v1	Acidimangrovimonas pyrenivorans (KCTC 62192 2024)
GCF_002871005.1_ASM287100v1	Acidimangrovimonas sediminis (MS2-2 2018)
GCF_000023265.1_ASM2326v1	Acidimicrobium ferrooxidans (DSM 10331 2009)
GCF_033842475.1_ASM3384247v1	Acidiphilium acidophilum (DSMZ 700 2023)
GCF_000701585.1_ASM70158v1	Acidiphilium angustum (ATCC 35903 2014)
GCF_021556475.1_ASM2155647v1	Acidiphilium iwatense (KCTC 23505 2022)
GCF_000202835.1_ASM20283v1	Acidiphilium multivorum (AIU301 2011)
GCF_900156265.1_IMG-taxon_2681812815_annotated_assembly	Acidiphilium rubrum (ATCC 35905 2017)
GCF_004339725.1_ASM433972v1	Acidipila rosea (DSM 103428 2019)
GCF_001441165.1_ASM144116v1	Acidipropionibacterium acidipropionici (CGMCC 1.2230 2015)
GCF_005890135.1_ASM589013v1	Acidipropionibacterium jensenii (FAM 19038 2019)
GCF_000423445.1_ASM42344v1	Acidipropionibacterium thoenii (DSM 20276 2013)
GCF_900605005.1_PRJEB25873	Acidipropionibacterium timonense (Marseille-P4482 2018)
GCF_003325455.1_ASM332545v1	Acidipropionibacterium virtanenii (JS278 2018)
GCF_003330725.1_ASM333072v1	Acidisarcina polymorpha (SBC82 2018)
GCF_020621385.1_ASM2062138v1	Acidisoma cellulosilyticum (HW T5.17 2021)
GCF_030252425.1_ASM3025242v1	Acidisoma cladoniae (PAMC 29798 2023)
GCF_020618775.1_ASM2061877v1	Acidisoma silvae (HW T2.11 2021)
GCF_000964365.1_ASM96436v1	Acidisphaera rubrifaciens (HS-AP3 2015)
GCF_023130475.1_ASM2313047v1	Aciditerrimonas ferrireducens (MV1 2022)
GCF_023277115.1_ASM2327711v1	Acidithiobacillus acidisediminis (S30A2 2022)
GCF_001931655.1_ASM193165v1	Acidithiobacillus albertensis (DSM 14366 2017)
GCF_000221025.1_ASM22102v1	Acidithiobacillus caldus (SM-1 2011)
GCF_018853445.1_ASM1885344v1	Acidithiobacillus concretivorus (ATCC 19703 2021)
GCF_010378095.2_MG_v5	Acidithiobacillus ferrianus (MG 2025)
GCF_003966655.1_ASM396665v1	Acidithiobacillus ferridurans (JCM 18981 2018)
GCF_028215975.1_ASM2821597v1	Acidithiobacillus ferriphilus (YL25 2023)
GCF_016250455.1_ASM1625045v1	Acidithiobacillus ferrivorans (XJFY6S-08 2020)
GCF_000021485.1_ASM2148v1	Acidithiobacillus ferrooxidans (ATCC 23270 2008)
GCF_018854495.2_AFG_CF3_v6	Acidithiobacillus ferruginosus (CF3 2025)
GCF_002847505.1_ASM284750v1	Acidithiobacillus marinus (SH 2017)
GCF_018853465.2_GG1-14_v8	Acidithiobacillus montserratensis (GG1-14 2025)
GCF_003721225.2_CJ2_v4	Acidithiobacillus sulfuriphilus (CJ-2 2025)
GCF_018853815.1_ASM1885381v1	Acidithiobacillus sulfurivorans (RW2 2021)
GCF_009662475.1_ASM966247v1	Acidithiobacillus thiooxidans (ATCC 19377 2019)
GCF_000949295.1_ASM94929v1	Acidithrix ferrooxidans (PY-F3 2015)
GCF_000022565.1_ASM2256v1	Acidobacterium capsulatum (ATCC 51196 2009)
GCF_900129125.1_IMG-taxon_2582581264_annotated_assembly	Acidocella aminolytica 101 (DSM 11237 2016)
GCF_030160635.1_ASM3016063v1	Acidocella aquatica (NBRC 112502 2023)
GCF_014201825.1_ASM1420182v1	Acidocella aromatica (DSM 27026 2020)
GCF_000687875.1_ASM68787v1	Acidocella facilis (ATCC 35904 2014)
GCF_004346035.1_ASM434603v1	Acidomonas methanolica (DSM 5432 2019)
GCF_000015025.1_ASM1502v1	Acidothermus cellulolyticus 11B (11B; ATCC 43068 2006)
GCF_025421555.1_ASM2542155v1	Acidovorax bellezanensis (Be4 2022)
GCF_028680575.1_ASM2868057v1	Acidovorax benzenivorans (D2M1 2023)
GCF_002157165.1_ASM215716v1	Acidovorax carolinensis (NA2 2017)
GCF_003581445.1_ASM358144v1	Acidovorax cavernicola (1011MAR4D40.2 2018)
GCF_007993815.1_ASM799381v1	Acidovorax delafieldii (DSM 64 2019)
GCF_000022305.1_ASM2230v1	Acidovorax ebreus (TPSY 2009)
GCF_023913775.1_ASM2391377v1	Acidovorax facilis (DSM 649 2022)
GCF_002245625.1_ASM224562v1	Acidovorax kalamii (KNDSW-TSA6 2017)
GCF_039540375.1_ASM3954037v1	Acidovorax lacteus (JCM 31890 2024)
GCF_000204195.1_ASM20419v1	Acidovorax radicis (N35 2011)
GCF_042847045.1_ASM4284704v1	Acidovorax sacchari (HC-19 2025)
GCF_900107605.1_IMG-taxon_2675903230_annotated_assembly	Acidovorax soli (DSM 25157 2016)
GCF_028596105.1_ASM2859610v1	Acidovorax temperans (LMJ 2023)
GCF_030762805.1_ASM3076280v1	Aciduricibacillus chroicocephali (44XB 2023)
GCF_900095025.1_IMG-taxon_2671180230_annotated_assembly	Acinetobacter albensis (ANC 4874 2016)
GCF_023499985.1_ASM2349998v1	Acinetobacter amyesii (ANC 5579 2022)
GCF_900197575.1_IMG-taxon_2690315601_annotated_assembly	Acinetobacter apis (ANC 5114 2017)
GCF_015627105.1_ASM1562710v1	Acinetobacter baretiae (B10A 2020)
GCF_019356215.1_ASM1935621v1	Acinetobacter baumannii (17978UN 2021)
GCF_000963815.1_ASM96381v1	Acinetobacter baumannii (AB5075-UW 2015)
GCF_000015425.1_ASM1542v1	Acinetobacter baumannii (ATCC 17978 2007)
GCA_902728005.1_Acinetobacter_baumannii_ATCC17978	Acinetobacter baumannii (ATCC 17978 2021)
GCF_001077675.1_ASM107767v1	Acinetobacter baumannii (ATCC 17978-mff 2015)
GCA_900011295.1_ATCC19606_assembly	Acinetobacter baumannii (ATCC 19606 2016)
GCF_009035845.1_ASM903584v1	Acinetobacter baumannii (ATCC 19606 2019)
GCF_000046845.1_ASM4684v1	Acinetobacter baylyi (ADP1 2004)
GCF_000369005.1_Acin_beij_CIP_110307_V1	Acinetobacter beijerinckii (CIP 110307 2013)
GCF_016576965.1_ASM1657696v1	Acinetobacter bereziniae (GD03185 2020)
GCF_000367925.1_Acin_sp_ANC_3994_V1	Acinetobacter bohemicus (ANC 3994 2013)
GCF_900096955.1_IMG-taxon_2671180229_annotated_assembly	Acinetobacter boissieri (ANC 4422 2016)
GCF_018324105.1_ASM1832410v1	Acinetobacter bouvetii (JCM 18991 2021)
GCF_000488275.1_Acin_bris_CIP110357_V2	Acinetobacter brisouii (CIP 110357 2013)
GCF_900444805.1_58932_B01	Acinetobacter calcoaceticus (NCTC12983 2018)
GCF_001707755.1_ASM170775v1	Acinetobacter celticus (ANC 4603 2016)
GCF_003664645.1_ASM366464v1	Acinetobacter chengduensis (WCHAc060005 2018)
GCF_002165375.2_ASM216537v2	Acinetobacter chinensis (WCHAc010005 2018)
GCF_000413935.1_Acin_sp_NIPH_2036_V1	Acinetobacter colistiniresistens (NIPH 2036 2013)
GCF_030053775.1_ASM3005377v1	Acinetobacter corruptisaponis (KCTC 92772 2023)
GCF_014635545.1_ASM1463554v1	Acinetobacter courvalinii (CCM 8635 2020)
GCF_003024525.3_ASM302452v3	Acinetobacter cumulans (WCHAc060092 2019)
GCF_001704615.3_ASM170461v3	Acinetobacter defluvii (WCHA30 2019)
GCF_009884975.1_ASM988497v1	Acinetobacter dispersus (NCCP 16014 2020)
GCF_026168575.1_ASM2616857v1	Acinetobacter entericus (BIT-DXN8 2022)
GCF_001307195.1_ASM130719v1	Acinetobacter equi (114 2015)
GCF_034187745.1_ASM3418774v1	Acinetobacter faecalis (ANC 7521 2023)
GCF_001678755.1_ASM167875v1	Acinetobacter gandensis (ANC 4275 2016)
GCF_013009345.1_ASM1300934v1	Acinetobacter geminorum (J00019 2020)
GCF_042647985.1_ASM4264798v1	Acinetobacter genomosp. 8 (CCM 8638 2024)
GCF_000368565.1_Acin_gern_CIP_107464_V1	Acinetobacter gerneri DSM 14967 MTCC 9824 (CIP 107464 2013)
GCF_009372255.1_ASM937225v1	Acinetobacter guerrae (AC 1271 2019)
GCF_002370525.2_ASM237052v2	Acinetobacter guillouiae (NBRC 110550 2014)
GCF_001682515.1_ASM168251v1	Acinetobacter gyllenbergii (FMP01 2016)
GCF_003323815.1_ASM332381v1	Acinetobacter haemolyticus (HW-2A 2018)
GCF_004208515.1_ASM420851v1	Acinetobacter halotolerans (JCM 31009 2019)
GCF_000816495.1_ASM81649v1	Acinetobacter harbinensis (HITLi 7 2015)
GCF_000369845.1_Acin_sp_ANC_3880_V1	Acinetobacter higginsii (ANC 3880 2013)
GCF_900625095.1_PRJEB29216	Acinetobacter ihumii (Marseille-P8049 2018)
GCF_009914475.1_ASM991447v1	Acinetobacter indicus (TQ23 2020)
GCF_000368805.1_Acin_john_ANC_3681_V1	Acinetobacter johnsonii (ANC 3681 2013)
GCF_018336855.1_ASM1833685v1	Acinetobacter junii (YR7 2021)
GCF_009939195.1_ASM993919v1	Acinetobacter kanungonis (PS-1 2020)
GCF_039543765.1_ASM3954376v1	Acinetobacter kookii (JCM 18512 2024)
GCF_900107285.1_IMG-taxon_2675903034_annotated_assembly	Acinetobacter kyonggiensis (ANC 5109 2016)
GCF_013122135.1_ASM1312213v1	Acinetobacter lactucae (QL-1 2020)
GCF_011578285.1_ASM1157828v1	Acinetobacter lanii (185 2020)
GCF_001704115.1_ASM170411v1	Acinetobacter larvae (BRTC-1 2016)
GCF_019343495.1_ASM1934349v1	Acinetobacter lwoffii (H7 2021)
GCF_900096915.1_IMG-taxon_2671180220_annotated_assembly	Acinetobacter marinus (ANC 3699 2016)
GCF_000367965.1_Acin_sp_NIPH_236_V1	Acinetobacter modestus (NIPH 236 2013)
GCF_000488215.1_Acin_nect_CIP110549_V2	Acinetobacter nectaris (CIP 110549 2013)
GCF_026344175.1_ASM2634417v1	Acinetobacter nematophilus (A-IN1 2022)
GCF_041021905.1_XH1679	Acinetobacter nosocomialis (2024)
GCF_000196795.1_ASM19679v1	Acinetobacter oleivorans (DR1 2010)
GCF_042656365.1_ASM4265636v1	Acinetobacter parvus (CCM 7030 2024)
GCF_014837015.1_ASM1483701v1	Acinetobacter pecorum (Sa1BUA6 2020)
GCF_002233755.1_ASM223375v1	Acinetobacter piscicola (LW15 2017)
GCF_000191145.1_ASM19114v1	Acinetobacter pittii (PHEA-2 2011)
GCF_015627175.1_ASM1562717v1	Acinetobacter pollinis (SCC477 2020)
GCF_002174125.1_ASM217412v1	Acinetobacter populi (PBJ7 2017)
GCF_010646905.1_ASM1064690v1	Acinetobacter portensis (B301 2020)
GCF_001605895.1_ASM160589v1	Acinetobacter pragensis (ANC 4149 2016)
GCF_000367945.1_Acin_sp_NIPH_809_V1	Acinetobacter proteolyticus (NIPH 809 2013)
GCF_006352475.1_ASM635247v1	Acinetobacter pullicarnis (S23 2019)
GCF_039542245.1_ASM3954224v1	Acinetobacter puyangensis (JCM 18011 2024)
GCF_008693185.1_ASM869318v1	Acinetobacter qingfengensis (CCUG 69710T 2019)
GCF_003258335.1_ASM325833v1	Acinetobacter radioresistens (LH6 2018)
GCF_015627125.1_ASM1562712v1	Acinetobacter rathckeae (EC24 2020)
GCF_003611475.1_ASM361147v1	Acinetobacter rongchengensis (WCHAc060115 2018)
GCF_000413895.1_Acin_rudi_CIP_110305_V1	Acinetobacter rudis (CIP 110305 2013)
GCF_010918895.1_ASM1091889v1	Acinetobacter schindleri (HZE30-1 2020)
GCF_022601685.1_ASM2260168v1	Acinetobacter sedimenti (A3.8 2022)
GCF_016064815.1_ASM1606481v1	Acinetobacter seifertii (S21 2020)
GCF_019355975.1_ASM1935597v1	Acinetobacter septicus (FDAARGOS_1401 2021)
GCF_011578045.1_ASM1157804v1	Acinetobacter shaoyimingii (323-1 2020)
GCF_003024515.2_ASM302451v2	Acinetobacter sichuanensis (WCHAc060041 2018)
GCF_002135235.1_ASM213523v1	Acinetobacter silvestris (ANC 4999 2017)
GCF_018139125.1_ASM1813912v1	Acinetobacter soli (M3-1-68 2021)
GCF_900323515.1_KPC-SM-21	Acinetobacter stercoris (2018)
GCF_008630915.1_ASM863091v1	Acinetobacter suaedae (C16S1 2019)
GCF_008867985.1_ASM886798v1	Acinetobacter tandoii (W4-4-4 2019)
GCF_002135195.1_ASM213519v1	Acinetobacter Taxon 24A (ANC 4655 2017)
GCF_004331155.1_ASM433115v1	Acinetobacter terrestris (ANC 4471 2019)
GCF_039865415.1_ASM3986541v1	Acinetobacter thermotolerans (ANC 7924 2024)
GCF_030385805.1_ASM3038580v1	Acinetobacter thutiue (VNH17 2023)
GCF_003611465.1_ASM361146v1	Acinetobacter tianfuensis (WCHAc060012 2018)
GCF_023824315.1_ASM2382431v1	Acinetobacter tibetensis (Y-23 2022)
GCF_000759995.1_ASM75999v1	Acinetobacter tjernbergiae (DSM 14971 2014)
GCF_017498585.1_ASM1749858v1	Acinetobacter towneri (GX3 2021)
GCF_000369885.1_Acin_ursi_NIPH_706_V1	Acinetobacter ursingii (NIPH 706 2013)
GCF_030518655.1_ASM3051865v1	Acinetobacter variabilis (TB2-2B 2023)
GCF_000368585.1_Acin_vene_CIP_110063_V1	Acinetobacter venetianus RAG-1 (CIP 110063 2013)
GCF_014635885.1_ASM1463588v1	Acinetobacter vivianii (CCM 8642 2020)
GCF_009557235.1_ASM955723v1	Acinetobacter wanghuae (dk386 2019)
GCF_001696605.3_ASM169660v3	Acinetobacter wuhouensis (WCHA60 2018)
GCF_018476525.1_ASM1847652v1	Acrocarpospora catenulata (H8750 2021)
GCF_009687845.1_ASM968784v1	Acrocarpospora corrugata (NBRC 13972 2019)
GCF_009687865.1_ASM968786v1	Acrocarpospora macrocephala (NBRC 16266 2019)
GCF_016862995.1_ASM1686299v1	Acrocarpospora phusangensis (NBRC 108782 2021)
GCF_009687885.1_ASM968788v1	Acrocarpospora pleiomorpha (NBRC 16267 2019)
GCF_000671395.1_SOAPdenovo_v1.05	Actibacterium atlanticum (22II-S11-z10 2014)
GCF_900184935.1_C.lipolyticum_CECT8621_Spades_Prokka	Actibacterium lipolyticum (CECT 8621 2017)
GCF_000647975.1_SOAPdenovo_v1.05	Actibacterium mucosum (KCTC 23349 2014)
GCF_014196965.1_ASM1419696v1	Actibacterium naphthalenivorans (DSM 105040 2020)
GCF_002285415.1_ASM228541v1	Actibacterium pelagium (JN33 2017)
GCF_002285435.1_ASM228543v1	Actibacterium ureilyticum (LS-811 2017)
GCF_039536745.1_ASM3953674v1	Actimicrobium antarcticum (JCM 16673 2024)
GCF_016918855.1_ASM1691885v1	Actinacidiphila acididurans (KK5PA1 2021)
GCF_019890725.1_ASM1989072v1	Actinacidiphila acidipaludis (PLK6-54 2021)
GCF_900112845.1_IMG-taxon_2667527403_annotated_assembly	Actinacidiphila alni (CGMCC 4.3510 2016)
GCF_910593825.1_SBRY-DSM42138-v2	Actinacidiphila bryophytorum (SBRY1 2022)
GCF_907177275.1_Scock-DSM42063-v1	Actinacidiphila cocklensis (DSM 42138 2022)
GCF_012034175.1_ASM1203417v1	Actinacidiphila epipremni (PRB2-1 2020)
GCF_035918135.1_ASM3591813v1	Actinacidiphila glaucinigra (NBC 01746 2024)
GCF_900103985.1_IMG-taxon_2667527439_annotated_assembly	Actinacidiphila guanduensis (CGMCC 4.2022 2016)
GCF_005047355.1_ASM504735v1	Actinacidiphila oryziradicis (NEAU-C40 2019)
GCF_900142575.1_IMG-taxon_2667527448_annotated_assembly	Actinacidiphila paucisporea (CGMCC 4.2025 2016)
GCF_036353415.1_ASM3635341v1	Actinacidiphila polyblastidii (V4-01 2024)
GCF_016756395.1_ASM1675639v1	Actinacidiphila reveromycinica (SN-593 2020)
GCF_900110255.1_IMG-taxon_2671180039_annotated_assembly	Actinacidiphila rubida (CGMCC 4.2026 2016)
GCF_003999195.1_ASM399919v1	Actinacidiphila soli (LAM7114 2019)
GCF_900107965.1_IMG-taxon_2667527441_annotated_assembly	Actinacidiphila yanglinensis (CGMCC 4.2023 2016)
GCF_000745345.1_ASM74534v1	Actinacidiphila yeochonensis (CN732 2014)
GCF_042429965.1_ASM4242996v1	Actinoallomurus acaciae (TBRC 0563 2024)
GCF_006716425.1_ASM671642v1	Actinoallomurus bryophytorum (DSM 102200 2019)
GCF_030269445.1_ASM3026944v1	Actinoallomurus iriomotensis (NBRC 103681 2023)
GCF_039542035.1_ASM3954203v1	Actinoallomurus liliacearum (JCM 17938 2024)
GCF_039541955.1_ASM3954195v1	Actinoallomurus oryzae (JCM 17933 2024)
GCF_024055795.1_ASM2405579v1	Actinoallomurus purpureus (KCTC 19541 2022)
GCF_024055675.1_ASM2405567v1	Actinoallomurus rhizosphaericola (WRP9H-5 2022)
