GCA_004365145.1_OryAfe_v1_BIUU	aardvark (BS58 2019 Broad)
GCA_000264685.2_Panu_3.0	olive baboon (2017 HGSC genbank)
GCF_008315115.1_SLUC_FBN_1	pike-perch
GCF_004115215.1_mOrnAna1.p.v1	platypus (v1 2019)
GCA_000687225.1_UrsMar_1.0	polar bear (Baiyulong BGI 2014 genbank)
GCA_000696695.1_Burgud	Przewalski's horse (Burgud 2014 genbank)
GCA_003327715.1_PumCon1.0	puma (SC36_Marlon 2018 genbank)
GCA_000258655.2_panpan1.1	pygmy chimpanzee (Ulindi genbank 2015)
GCA_000003625.1_OryCun2.0	rabbit (Thorbecke 2009 Broad genbank)
GCA_000772875.3_Mmul_8.0.1	Rhesus monkey (2015 Baylor)
GCF_000695815.1_ASM69581v1	rifleman (BGI 2014)
GCA_004024665.1_LemCat_v1_BIUU	ring-tailed lemur BS26 Broad 2019
GCF_014905685.1_NemWhi1	Rio pearlfish (Nwh7 v1 2020)
GCA_900094665.2_CAROLI_EIJ_v1.1	Ryukyu mouse (2017 EBI genbank)
GCA_002288905.2_ASM228890v2	sea otter (GAN:26980312 2017 genbank)
GCF_900634795.2_fBetSpl5.2	Siamese fighting fish (v2 2019)
GCF_009828535.1_HMol	silvery gibbon
GCA_000283155.1_CerSimSim1.0	southern white rhinoceros (SDZICR_KB13650 2012 genbank)
GCF_000004515.5_Glycine_max_v2.1	soybean (US DOE JGI-PGF v1 2018)
GCA_002880775.3_Susie_PABv2	Sumatran orangutan (2018 genbank)
GCF_000189315.1_Devil_ref_v7.0	Tasmanian devil
GCF_000236235.1_SpeTri2.0	thirteen-lined ground squirrel (2011)
GCF_002776525.2_ASM277652v2	Ugandan red Colobus
GCA_000622305.1_S.galili_v1.0	Upper Galilee mountains blind mole rat (#2095 2014 genbank)
GCF_001633185.1_ValleyOak3.0	valley oak (v3.0 2019)
GCA_000471725.1_UMD_CASPUR_WB_2.0	water buffalo (Mediterranean 2013)
GCA_000349705.1_LepWed1.0	Weddell seal (WS11-02 2013 genbank)
GCA_000296755.1_EriEur2.0	western European hedgehog (2012 genbank)
GCA_900006655.3_Susie3	western lowland gorilla (Susie 2016)
GCF_000241765.3_Chrysemys_picta_bellii-3.0.3	western painted turtle (v303 2014)
GCF_004664715.1_Pero_0.1	white-footed mouse
GCA_002102435.1_Ovir.te_1.0	white-tailed deer (Pink-7 2017 genbank)
GCA_002754865.1_ASM275486v1	white-tufted-ear marmoset (CJ-08-46 2017)
GCF_000004665.1_Callithrix_jacchus-3.2	white-tufted-ear marmoset (2010 Wash U)
GCA_009663435.1_Callithrix_jacchus_cj1700_1.0	white-tufted-ear marmoset (cj1700 genbank)
GCF_003945595.1_ASM394559v1	wire-tailed manakin (2018)
GCA_901343595.1_MONAX5	woodchuck
GCF_003031525.1_Neophocaena_asiaeorientalis_V1	Yangtze finless porpoise (v1 2018)
GCA_000442215.1_Lipotes_vexillifer_v1	Yangtze River dolphin (BGI 2013 genbank)
GCF_003676075.1_ASM367607v1	yellow-bellied marmot
GCF_003957565.1_bTaeGut1_v1.p	zebra finch (v1 2019)
GCA_000247795.2_Bos_indicus_1.0	zebu cattle (Nelore 2014 genbank)
