code	canonical_cell_type	broad_class	brain_region	note
X1126 HY PAL STR folh1	Folh1 GABAergic neuron (D3 MSN-like)	Inhibitory neuron	Striatum/Pallidum	Folh1/Drd3 marker; Allen OT D3 Folh1 Gaba (olfactory tubercle MSN-like); spans HY/PAL/STR
X1728 PAL sln	Sln pallidal GABAergic neuron	Inhibitory neuron	Pallidum	Sarcolipin (Sln)-marked pallidal GABAergic neuron
X1794 sAMY PAL HY skor1	Skor1 GABAergic neuron	Inhibitory neuron	sAMY/Pallidum/Hypothalamus	Skor1-marked GABAergic neuron of sAMY-PAL-HY territory
X2016 TH prkcd grin2c	Thalamic glutamatergic neuron	Excitatory neuron	Thalamus	Allen TH Prkcd Grin2c Glut; thalamic excitatory subclass
X306 OLF CTXsp tfap2d	Olfactory/cortical-subplate Tfap2d neuron	Other neuron	Olfactory/Cortical subplate	Tfap2d-marked OLF/CTXsp neuron; excitatory vs inhibitory identity not resolved from taxonomy
X3825 OLF frmd7	Olfactory bulb granule GABAergic neuron	Inhibitory neuron	Olfactory	Allen Frmd7 Gaba; olfactory bulb granule-layer GABAergic neuron
X387 lamp5	Lamp5 GABAergic interneuron	Inhibitory neuron	Striatum	Allen Lamp5 Gaba interneuron subclass
X3893 OPC	Oligodendrocyte precursor cell	Oligodendrocyte precursor		Non-neuronal; OPC
X3911 oligo	Oligodendrocyte	Oligodendrocyte		Non-neuronal; mature oligodendrocyte
X3914 oligo	Oligodendrocyte	Oligodendrocyte		Non-neuronal; mature oligodendrocyte
X3916 oligo	Oligodendrocyte	Oligodendrocyte		Non-neuronal; mature oligodendrocyte
X3918 CHOR	Choroid plexus epithelial cell	Choroid plexus		Non-neuronal; CHOR = choroid plexus
X3934 astro	Astrocyte	Astrocyte		Non-neuronal; astrocyte
X3936 astro	Astrocyte	Astrocyte		Non-neuronal; astrocyte
X3942 astro	Astrocyte	Astrocyte		Non-neuronal; astrocyte
X3945 astro	Astrocyte	Astrocyte		Non-neuronal; astrocyte
X3982 micro PVM	Microglia / perivascular macrophage	Microglia		Non-neuronal; microglia and perivascular macrophage (PVM/immune)
X3988 VLMC	Vascular leptomeningeal cell	Other		Non-neuronal; VLMC (fibroblast-like leptomeningeal cell), not mural/endothelial
X3992 VLMC	Vascular leptomeningeal cell	Other		Non-neuronal; VLMC (fibroblast-like leptomeningeal cell), not mural/endothelial
X4016 endo	Endothelial cell	Endothelial		Non-neuronal; vascular endothelium
X458 prox1 lhx6	Prox1/Lhx6 GABAergic interneuron	Inhibitory neuron	Striatum	Allen STR Prox1 Lhx6 Gaba (subclass 054); MGE/CGE-derived interneuron
X527 sst chodl	Sst Chodl interneuron	Inhibitory neuron	Striatum	Allen Sst Chodl Gaba (subclass 056); long-range SST interneuron
X564 sAMY PAL HY lhx8	Lhx8 GABAergic neuron	Inhibitory neuron	sAMY/Pallidum/Hypothalamus	Allen NDB-SI-MA-STRv Lhx8 Gaba (subclass 057); basal forebrain GABAergic/cholinergic-related
X652 sAMY PAL HY lhx8	Lhx8 GABAergic neuron	Inhibitory neuron	sAMY/Pallidum/Hypothalamus	Allen NDB-SI-MA-STRv Lhx8 Gaba (subclass 057); basal forebrain GABAergic/cholinergic-related
X839 sAMY PAL ebf1	Ebf1 GABAergic neuron	Inhibitory neuron	sAMY/Pallidum	Ebf1-marked striatal/pallidal GABAergic neuron
