code	canonical_cell_type	broad_class	brain_region	note
D1MSN1	D1 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D1MSN = D1-receptor medium spiny neuron
D1MSN2	D1 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D1MSN = D1-receptor medium spiny neuron
D1MSN3	D1 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D1MSN = D1-receptor medium spiny neuron
D1MSN4	D1 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D1MSN = D1-receptor medium spiny neuron
D1MSN5	D1 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D1MSN = D1-receptor medium spiny neuron
D2MSN1	D2 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D2MSN = D2-receptor medium spiny neuron
D2MSN2	D2 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D2MSN = D2-receptor medium spiny neuron
D2MSN3	D2 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D2MSN = D2-receptor medium spiny neuron
D2MSN4	D2 medium spiny neuron	Medium spiny neuron	Striatum	Li 2021 Fig1 legend: D2MSN = D2-receptor medium spiny neuron
DGGR	Dentate gyrus granule cell	Excitatory neuron	Hippocampus dentate gyrus	Li 2021 Fig1 legend: DGGR = dentate gyrus granule cell (glutamatergic)
DGNBL1	Dentate gyrus granule neuroblast	Neural progenitor	Hippocampus dentate gyrus (SGZ)	Li 2021 Methods: DGNBL = granule neuroblast in adult SGZ neurogenesis
DGNBL2	Dentate gyrus granule neuroblast	Neural progenitor	Hippocampus dentate gyrus (SGZ)	Li 2021 Methods: DGNBL = granule neuroblast in adult SGZ neurogenesis
DGNBL3	Dentate gyrus granule neuroblast	Neural progenitor	Hippocampus dentate gyrus (SGZ)	Li 2021 Methods: DGNBL = granule neuroblast in adult SGZ neurogenesis
ITHGL1	Intratelencephalic excitatory neuron (hippocampal formation)	Excitatory neuron	Hippocampal formation	Li 2021 Fig1 legend: ITHGL = intra-telencephalic hippocampal glutamatergic
ITHGL2	Intratelencephalic excitatory neuron (hippocampal formation)	Excitatory neuron	Hippocampal formation	Li 2021 Fig1 legend: ITHGL = intra-telencephalic hippocampal glutamatergic
ITHGL3	Intratelencephalic excitatory neuron (hippocampal formation)	Excitatory neuron	Hippocampal formation	Li 2021 Fig1 legend: ITHGL = intra-telencephalic hippocampal glutamatergic
ITL23GL1	Cortical IT excitatory neuron (L2/3)	Excitatory neuron	Cortex (L2/3)	Li 2021 Fig1 legend: ITL23GL = intra-telencephalic L2/3 glutamatergic
ITL23GL2	Cortical IT excitatory neuron (L2/3)	Excitatory neuron	Cortex (L2/3)	Li 2021 Fig1 legend: ITL23GL = intra-telencephalic L2/3 glutamatergic
ITL23GL3	Cortical IT excitatory neuron (L2/3)	Excitatory neuron	Cortex (L2/3)	Li 2021 Fig1 legend: ITL23GL = intra-telencephalic L2/3 glutamatergic
ITL4GL1	Cortical IT excitatory neuron (L4)	Excitatory neuron	Cortex (L4)	Li 2021 Fig1 legend: ITL4GL = intra-telencephalic L4 glutamatergic
ITL4GL2	Cortical IT excitatory neuron (L4)	Excitatory neuron	Cortex (L4)	Li 2021 Fig1 legend: ITL4GL = intra-telencephalic L4 glutamatergic
ITL5GL1	Cortical IT excitatory neuron (L5)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: ITL5GL = intra-telencephalic L5 glutamatergic
ITL5GL2	Cortical IT excitatory neuron (L5)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: ITL5GL = intra-telencephalic L5 glutamatergic
ITL5GL3	Cortical IT excitatory neuron (L5)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: ITL5GL = intra-telencephalic L5 glutamatergic
ITL6GL1	Cortical IT excitatory neuron (L6)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: ITL6GL = intra-telencephalic L6 glutamatergic
ITL6GL2	Cortical IT excitatory neuron (L6)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: ITL6GL = intra-telencephalic L6 glutamatergic
ITL6GL3	Cortical IT excitatory neuron (L6)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: ITL6GL = intra-telencephalic L6 glutamatergic
ITL6GL4	Cortical IT excitatory neuron (L6)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: ITL6GL = intra-telencephalic L6 glutamatergic
ITL6GL5	Cortical IT excitatory neuron (L6)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: ITL6GL = intra-telencephalic L6 glutamatergic
ITL6GL6	Cortical IT excitatory neuron (L6)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: ITL6GL = intra-telencephalic L6 glutamatergic
L6bGL1	Cortical excitatory neuron (L6b)	Excitatory neuron	Cortex (L6b)	Li 2021 Fig1 legend: L6bGL = layer 6b glutamatergic
L6bGL2	Cortical excitatory neuron (L6b)	Excitatory neuron	Cortex (L6b)	Li 2021 Fig1 legend: L6bGL = layer 6b glutamatergic
L6bGL3	Cortical excitatory neuron (L6b)	Excitatory neuron	Cortex (L6b)	Li 2021 Fig1 legend: L6bGL = layer 6b glutamatergic
L6bGL4	Cortical excitatory neuron (L6b)	Excitatory neuron	Cortex (L6b)	Li 2021 Fig1 legend: L6bGL = layer 6b glutamatergic
L6bGL5	Cortical excitatory neuron (L6b)	Excitatory neuron	Cortex (L6b)	Li 2021 Fig1 legend: L6bGL = layer 6b glutamatergic
L6bGL6	Cortical excitatory neuron (L6b)	Excitatory neuron	Cortex (L6b)	Li 2021 Fig1 legend: L6bGL = layer 6b glutamatergic
LAMGA1	Lamp5 GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: LAMGA = Lamp5+ GABAergic
LAMGA2	Lamp5 GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: LAMGA = Lamp5+ GABAergic
LAMGA3	Lamp5 GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: LAMGA = Lamp5+ GABAergic
LAMGA4	Lamp5 GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: LAMGA = Lamp5+ GABAergic
LSXGA1	Lateral septum GABAergic neuron	Inhibitory neuron	Lateral septum	Li 2021 Fig1 legend: LSXGA = lateral septal complex GABAergic
LSXGA2	Lateral septum GABAergic neuron	Inhibitory neuron	Lateral septum	Li 2021 Fig1 legend: LSXGA = lateral septal complex GABAergic
LSXGA3	Lateral septum GABAergic neuron	Inhibitory neuron	Lateral septum	Li 2021 Fig1 legend: LSXGA = lateral septal complex GABAergic
LSXGA4	Lateral septum GABAergic neuron	Inhibitory neuron	Lateral septum	Li 2021 Fig1 legend: LSXGA = lateral septal complex GABAergic
LSXGA5	Lateral septum GABAergic neuron	Inhibitory neuron	Lateral septum	Li 2021 Fig1 legend: LSXGA = lateral septal complex GABAergic
LSXGA6	Lateral septum GABAergic neuron	Inhibitory neuron	Lateral septum	Li 2021 Fig1 legend: LSXGA = lateral septal complex GABAergic
LSXGA7	Lateral septum GABAergic neuron	Inhibitory neuron	Lateral septum	Li 2021 Fig1 legend: LSXGA = lateral septal complex GABAergic
MFOL	Myelin-forming oligodendrocyte	Oligodendrocyte		Li 2021 Fig1 legend: MFOL = myelin-forming oligodendrocyte
MGL	Microglia	Microglia		Li 2021 Fig1 legend: MGL = microglia
MOL	Mature oligodendrocyte	Oligodendrocyte		Li 2021 Fig1 legend: MOL = mature oligodendrocyte
MSGA1	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic (most diverse GABAergic types)
MSGA10	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA11	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA12	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA13	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA2	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA3	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA4	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA5	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA6	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA7	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA8	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MSGA9	Medial septum GABAergic neuron	Inhibitory neuron	Medial septal nucleus	Li 2021 main text: MSGA = medial septal nucleus GABAergic
MXD	Matrix D1 neuron (pallidum)	Medium spiny neuron	Pallidum	Li 2021 main text: MXD = matrix D1 neurons in the pallidum
NFOL	Newly formed oligodendrocyte	Oligodendrocyte		Li 2021 Fig1 legend: NFOL = newly formed oligodendrocyte
NIPC	Neuronal intermediate progenitor cell	Neural progenitor	SGZ/SVZ	Li 2021 main text: NIPC = neuronal intermediate progenitor cell (adult neurogenesis)
NPGL1	Cortical near-projecting excitatory neuron	Excitatory neuron	Cortex (L5/6)	Li 2021 Fig1 legend: NPGL = near-projecting glutamatergic
NPGL2	Cortical near-projecting excitatory neuron	Excitatory neuron	Cortex (L5/6)	Li 2021 Fig1 legend: NPGL = near-projecting glutamatergic
NPGL3	Cortical near-projecting excitatory neuron	Excitatory neuron	Cortex (L5/6)	Li 2021 Fig1 legend: NPGL = near-projecting glutamatergic
NPGL4	Cortical near-projecting excitatory neuron	Excitatory neuron	Cortex (L5/6)	Li 2021 Fig1 legend: NPGL = near-projecting glutamatergic
NPGL5	Cortical near-projecting excitatory neuron	Excitatory neuron	Cortex (L5/6)	Li 2021 Fig1 legend: NPGL = near-projecting glutamatergic
OBDOP1	Olfactory bulb dopaminergic neuron	Other neuron	Olfactory bulb	Li 2021 Fig1 legend: OBDOP = olfactory bulb dopaminergic (dopaminergic/GABAergic interneuron)
OBDOP2	Olfactory bulb dopaminergic neuron	Other neuron	Olfactory bulb	Li 2021 Fig1 legend: OBDOP = olfactory bulb dopaminergic (dopaminergic/GABAergic interneuron)
OBGA1	Olfactory bulb GABAergic neuron	Inhibitory neuron	Olfactory bulb	Li 2021 Fig1 legend/Methods: OBGA = olfactory bulb inhibitory neuron
OBGA2	Olfactory bulb GABAergic neuron	Inhibitory neuron	Olfactory bulb	Li 2021 Fig1 legend/Methods: OBGA = olfactory bulb inhibitory neuron
OBGL1	Olfactory bulb excitatory neuron	Excitatory neuron	Olfactory bulb	Li 2021 Fig1 legend: OBGL = olfactory bulb glutamatergic
OBGL2	Olfactory bulb excitatory neuron	Excitatory neuron	Olfactory bulb	Li 2021 Fig1 legend: OBGL = olfactory bulb glutamatergic
OBGL3	Olfactory bulb excitatory neuron	Excitatory neuron	Olfactory bulb	Li 2021 Fig1 legend: OBGL = olfactory bulb glutamatergic
OBGL4	Olfactory bulb excitatory neuron	Excitatory neuron	Olfactory bulb	Li 2021 Fig1 legend: OBGL = olfactory bulb glutamatergic
OBGL5	Olfactory bulb excitatory neuron	Excitatory neuron	Olfactory bulb	Li 2021 Fig1 legend: OBGL = olfactory bulb glutamatergic
OBNBL	Olfactory bulb neuroblast	Neural progenitor	Olfactory bulb/SVZ-RMS	Li 2021 Methods: OBNBL = neuroblast in SVZ->OB adult neurogenesis
OLFGL1	Olfactory areas excitatory neuron	Excitatory neuron	Olfactory areas	Li 2021 Fig1 legend: OLFGL = olfactory area glutamatergic
OLFGL2	Olfactory areas excitatory neuron	Excitatory neuron	Olfactory areas	Li 2021 Fig1 legend: OLFGL = olfactory area glutamatergic
OLFGL3	Olfactory areas excitatory neuron	Excitatory neuron	Olfactory areas	Li 2021 Fig1 legend: OLFGL = olfactory area glutamatergic
OLFGL4	Olfactory areas excitatory neuron	Excitatory neuron	Olfactory areas	Li 2021 Fig1 legend: OLFGL = olfactory area glutamatergic
OLFGL5	Olfactory areas excitatory neuron	Excitatory neuron	Olfactory areas	Li 2021 Fig1 legend: OLFGL = olfactory area glutamatergic
OLFGL6	Olfactory areas excitatory neuron	Excitatory neuron	Olfactory areas	Li 2021 Fig1 legend: OLFGL = olfactory area glutamatergic
OLFGL7	Olfactory areas excitatory neuron	Excitatory neuron	Olfactory areas	Li 2021 Fig1 legend: OLFGL = olfactory area glutamatergic
Oligodendrocyte precursor	Oligodendrocyte precursor cell (OPC)	Oligodendrocyte precursor		Source list entry is OPC spelled out; Li 2021 non-neuronal OPC subclass
PER	Pericyte	Mural		Li 2021 Fig1 legend: PER = pericyte
PIRGL	Piriform cortex excitatory neuron	Excitatory neuron	Piriform cortex	Li 2021 Fig1 legend: PIRGL = piriform area glutamatergic
PTGL1	Cortical pyramidal-tract excitatory neuron (L5 ET)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: PTGL = pyramidal tract glutamatergic
PTGL2	Cortical pyramidal-tract excitatory neuron (L5 ET)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: PTGL = pyramidal tract glutamatergic
PTGL3	Cortical pyramidal-tract excitatory neuron (L5 ET)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: PTGL = pyramidal tract glutamatergic
PTGL4	Cortical pyramidal-tract excitatory neuron (L5 ET)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: PTGL = pyramidal tract glutamatergic
PTGL5	Cortical pyramidal-tract excitatory neuron (L5 ET)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: PTGL = pyramidal tract glutamatergic
PTGL6	Cortical pyramidal-tract excitatory neuron (L5 ET)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: PTGL = pyramidal tract glutamatergic
PTGL7	Cortical pyramidal-tract excitatory neuron (L5 ET)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: PTGL = pyramidal tract glutamatergic
PTGL8	Cortical pyramidal-tract excitatory neuron (L5 ET)	Excitatory neuron	Cortex (L5)	Li 2021 Fig1 legend: PTGL = pyramidal tract glutamatergic
PVGA1	Parvalbumin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: PVGA = parvalbumin+ GABAergic (incl. chandelier)
PVGA2	Parvalbumin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: PVGA = parvalbumin+ GABAergic
PVGA3	Parvalbumin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: PVGA = parvalbumin+ GABAergic
PVGA4	Parvalbumin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: PVGA = parvalbumin+ GABAergic
PVGA5	Parvalbumin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: PVGA = parvalbumin+ GABAergic
PVGA6	Parvalbumin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: PVGA = parvalbumin+ GABAergic
PVGA7	Parvalbumin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: PVGA = parvalbumin+ GABAergic
PVM	Perivascular macrophage	Immune		Li 2021 Fig1 legend: PVM = perivascular macrophage
RGDG	Radial glia-like cell (dentate gyrus)	Neural progenitor	Hippocampus dentate gyrus (SGZ)	Li 2021 Methods: dentate gyrus radial glia-like cell (subclass RGL)
RGSZ	Radial glia-like cell (subventricular zone)	Neural progenitor	Subventricular zone	Li 2021 Methods: subventricular zone radial glia-like cell (subclass RGL)
SSTGA1	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
SSTGA10	Somatostatin GABAergic interneuron (Sst-Chodl-like)	Inhibitory neuron	Cortex	Li 2021 main text: SSTGA10 = Sst- (Chodl) long-range subtype with KLF motif enrichment
SSTGA2	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
SSTGA3	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
SSTGA4	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
SSTGA5	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
SSTGA6	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
SSTGA7	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
SSTGA8	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
SSTGA9	Somatostatin GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend/main text: SSTGA = somatostatin+ GABAergic
STRGA1	Striatal GABAergic interneuron	Inhibitory neuron	Striatum	Li 2021 Fig1 legend: STRGA = striatal GABAergic (non-MSN interneuron)
STRGA2	Striatal GABAergic interneuron	Inhibitory neuron	Striatum	Li 2021 Fig1 legend: STRGA = striatal GABAergic (non-MSN interneuron)
STRGA3	Striatal GABAergic interneuron	Inhibitory neuron	Striatum	Li 2021 Fig1 legend: STRGA = striatal GABAergic (non-MSN interneuron)
STRGA4	Striatal GABAergic interneuron	Inhibitory neuron	Striatum	Li 2021 Fig1 legend: STRGA = striatal GABAergic (non-MSN interneuron)
STRGA5	Striatal GABAergic interneuron	Inhibitory neuron	Striatum	Li 2021 Fig1 legend: STRGA = striatal GABAergic (non-MSN interneuron)
STRGA6	Striatal GABAergic interneuron	Inhibitory neuron	Striatum	Li 2021 Fig1 legend: STRGA = striatal GABAergic (non-MSN interneuron)
VEC	Vascular endothelial cell	Endothelial		Li 2021 Fig1 legend: VEC = vascular endothelial cell
VIPGA1	Vip GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: VIPGA = Vip+ GABAergic
VIPGA2	Vip GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: VIPGA = Vip+ GABAergic
VIPGA3	Vip GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: VIPGA = Vip+ GABAergic
VIPGA4	Vip GABAergic interneuron	Inhibitory neuron	Cortex	Li 2021 Fig1 legend: VIPGA = Vip+ GABAergic
VLMC1	Vascular and leptomeningeal cell	Other		Li 2021 Fig1 legend: VLMC = vascular and leptomeningeal (fibroblast-like) cell; no vascular-fibroblast bucket in vocab
VLMC2	Vascular and leptomeningeal cell	Other		Li 2021 Fig1 legend: VLMC = vascular and leptomeningeal (fibroblast-like) cell; no vascular-fibroblast bucket in vocab
VLMC3	Vascular and leptomeningeal cell	Other		Li 2021 Fig1 legend: VLMC = vascular and leptomeningeal (fibroblast-like) cell; no vascular-fibroblast bucket in vocab
VPIA1	VPIA1	Unknown		Not defined in accessible Fig1 legend or full text; abbreviation meaning unconfirmed (candidate: ventral pallidum neuron) - left Unknown to avoid guessing
VPIA2	VPIA2	Unknown		Not defined in accessible Fig1 legend or full text; abbreviation meaning unconfirmed (candidate: ventral pallidum neuron) - left Unknown to avoid guessing
VPIA3	VPIA3	Unknown		Not defined in accessible Fig1 legend or full text; abbreviation meaning unconfirmed (candidate: ventral pallidum neuron) - left Unknown to avoid guessing
