SAMPID	SMATSSCR	SMCENTER	SMPTHNTS	SMRIN	SMTS	SMTSD	SMTSISCH	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-N7MS-0011-R1a-SM-2HMJG		C1, A1		7.3	Brain	Brain - Hippocampus		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.7263314	72954	0.9691295	824	0.7585336	0.8987705	0.23690665	25483	0.675852	0.7696836	76	51.692814	0.0033348121	283	46892957	74571166	0.030574726	4033448	98309652	13919932	0.68044126	145523	34855184	64552	0.03613919	0	0.07035893	0.5126564	0.6817476	50399071	0.005416929	13760727	3015888	14105200	216	15226514	8806379	0.0043316744	15122489	49.82862	0.041027997	0.79073566	835	0.324148	50.61809
GTEX-N7MS-0011-R2a-SM-2HML6		C1, A1		7	Brain	Brain - Substantia nigra		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.5764861	71159	0.9709153	918	0.60253	0.900141	0.2663882	25237	0.72488964	0.6983822	76	44.022438	0.0030529764	282	44397185	56179964	0.028678	2639068	93240110	14484750	0.61021847	146365	26227074	72217	0.04058902	0	0.07077434	0.43676773	0.5423619	40724270	0.005186	10542267	3083255	10781620	150	11678187	8637924	0.004073389	11575007	49.778137	0.028304	0.6285739	837	0.27511042	50.561234
GTEX-N7MS-0011-R2a-SM-2IZK7		C1, A1		7	Brain	Brain - Substantia nigra		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-N7MS-0011-R3a-SM-2AXVU		C1, A1		7.6	Brain	Brain - Anterior cingulate cortex (BA24)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R3a-SM-2HMKD		C1, A1		7.6	Brain	Brain - Anterior cingulate cortex (BA24)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_2	04/02/2012	TrueSeq.v1	0.052775316	106822	0.9547338	1233	0.10211756	0.8600009	0.32791445	23897	0.63501155	0.68136895	76	18.704065	0.0044908267	137	23133316	26833433	0.044661004	1060802	262770006	98028026	0.6069211	140228	6631114	97573	0.05462009	0	0.094732866	0.06484584	0.0878212	17039541	0.0064474316	2795573	8305410	2838366	111	8114816	4205357	0.0049964227	8085575	49.90975	0.004036998	0.15145981	806	0.36498842	50.37978
GTEX-N7MS-0011-R3a-SM-33HC6		C1, A1		7.6	Brain	Brain - Anterior cingulate cortex (BA24)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1668	09/11/2012	TrueSeq.v1	0.8898948	181246	0.9636459	631	0.9031067	0.8859279	0.2878535	28234	0.6580153	0.8063869	76	110.400635	0.0022793403	540	96736335	169157355	0.035832547	6268197	187306060	16596756	0.6230137	153409	81030965	44126	0.022391336	0	0.077718005	0.594258	0.80008745	111308128	0.0042622364	34974565	15326051	36220021	504	36663415	22956649	0.003256284	36619121	49.96978	0.033464998	0.91631854	875	0.3419847	50.874683
GTEX-N7MS-0011-R4a-SM-2AXW2		C1, A1		6.2	Brain	Brain - Amygdala		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R4a-SM-2HMKW		C1, A1		6.2	Brain	Brain - Amygdala		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.6061189	66310	0.9742235	904	0.63193387	0.8957586	0.28027815	24700	0.66579306	0.7639437	76	41.432827	0.0031970337	345	34278324	57739900	0.02540079	3252595	91370162	15309460	0.6034504	144225	26995648	67401	0.039557222	0	0.07846487	0.42073718	0.5660602	38442825	0.0052473103	10529295	2157283	10846389	164	11651563	8137082	0.004180295	11545498	49.77138	0.035598	0.6577488	811	0.33420694	50.741714
GTEX-N7MS-0011-R5a-SM-2AXW7		C1, A1		7.8	Brain	Brain - Caudate (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R5a-SM-2HMK8		C1, A1		7.8	Brain	Brain - Caudate (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.822695	100214	0.9660941	743	0.8560358	0.8770025	0.28164658	27174	0.6871674	0.7254617	76	69.211	0.0031765974	321	67899240	103081840	0.03352636	6074469	120417672	15850912	0.6176993	151164	48361747	45670	0.023388261	0	0.08909151	0.5882399	0.75074553	70834480	0.0051838853	19595306	3611988	20148428	309	21641531	13525503	0.0041411514	21325223	49.63192	0.050444998	0.88937664	891	0.3128326	50.695858
GTEX-N7MS-0011-R6a-SM-2AXWD		C1, A1		7.6	Brain	Brain - Nucleus accumbens (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R6a-SM-2HMJ4		C1, A1		7.6	Brain	Brain - Nucleus accumbens (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.81758004	92767	0.9653962	898	0.8504017	0.8820978	0.2695417	26299	0.73741996	0.73870814	76	61.83883	0.002966496	252	70612835	83469045	0.034127235	4020326	98152492	12130800	0.62575126	148207	39138643	62154	0.03113028	0	0.08329841	0.6271032	0.75013745	61551743	0.00499649	16053726	3105895	16453724	245	17668410	12313288	0.0039423187	17447282	49.685143	0.04096	0.88322335	854	0.26258	50.615242
GTEX-N7MS-0011-R7a-SM-2AXV5		C1, A1		6.4	Brain	Brain - Putamen (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R7a-SM-2HMKN		C1, A1		6.4	Brain	Brain - Putamen (basal ganglia)		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	LCSET-1156_2	02/15/2012	TrueSeq.v1	0.6063227	68795	0.96968365	1195	0.6355665	0.89667565	0.2746854	24220	0.5996547	0.74574816	76	29.375544	0.0037581334	224	22921371	50748311	0.030061886	4708838	79847366	13227746	0.6932713	142066	23590438	88456	0.048088104	0	0.073007904	0.38112044	0.569897	30431465	0.0058153137	8995870	3014167	9556481	131	10366169	5352672	0.004739396	9997472	49.09472	0.05897299	0.6648103	791	0.40034527	51.510887
GTEX-N7MS-0011-R8a-SM-2AXVD		C1, A1		6.8	Brain	Brain - Hypothalamus		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0011-R8a-SM-2YUMK		C1, A1		6.8	Brain	Brain - Hypothalamus		BP-17395	RNA isolation_Trizol Manual (Cell Pellet)	07/05/2011	LCSET-1433	06/09/2012	TrueSeq.v1	0.8010902	76797	0.961522	930	0.8093838	0.87626356	0.30053952	25008	0.63373965	0.70613486	76	44.052994	0.0026488428	466	32679529	64119669	0.038104363	4320281	79220348	6538212	0.59609693	145891	30854511	78076	0.046929076	0	0.08525844	0.5129386	0.7092335	40635178	0.0028911503	11839039	3001813	12153580	219	12317489	9750793	0.0027687552	12167817	49.694363	0.05453499	0.8176774	820	0.36626035	50.65549
GTEX-N7MS-0126-SM-3TW8O	3	C1	OK	9.1	Testis	Testis	16-19 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2622	01/26/2013	TrueSeq.v1	0.91745436	215630	0.8973197	557	0.9259992	0.7222281	0.32650393	36051	0.8147143	0.6834426	76	72.09292	0.002787462	304	124500663	100498422	0.10241597	5577558	108529704	14488498	0.6696746	168667	48461765	35458	0.020814048	0	0.17509158	0.7544248	0.66878265	81877508	0.0029687712	19086478	9667371	19287966	264	19539848	15703873	0.0028772799	19525988	49.98226	0.051391996	0.9345441	937	0.18528563	50.262527
GTEX-N7MS-0225-SM-4E3HO	1	C1	OK for analysis	7.7	Skin	Skin - Sun Exposed (Lower leg)	16-19 hours	BP-36182	RNA isolation_PAXgene Tissue miRNA	02/15/2013	LCSET-3416	07/12/2013	TrueSeq.v1	0.91401863	136274	0.97137916	740	0.925651	0.820808	0.32400715	27279	0.7761738	0.7230456	76	55.477516	0.0058502336	196	78703745	79525764	0.028403476	864373	85913326	9223898	0.5837654	151658	38298924	53545	0.029134	0	0.15057117	0.71846604	0.7597818	61725810	0.0028670093	16794984	3814696	16989997	173	17258030	13502100	0.0043773656	17381617	50.178387	0.010060988	0.9372835	862	0.22382627	50.288605
GTEX-N7MS-0326-SM-4E3K2	1	C1	OK for analysis	6.8	Adipose Tissue	Adipose - Subcutaneous	16-19 hours	BP-36182	RNA isolation_PAXgene Tissue miRNA	02/15/2013	LCSET-3416	07/12/2013	TrueSeq.v1	0.9173844	118282	0.97363216	694	0.92827564	0.8343262	0.31309992	25831	0.74591327	0.8207733	76	52.85772	0.005963859	191	63611663	75599585	0.026170963	932823	81440884	9026470	0.5961935	146353	36441117	43627	0.02606793	0	0.1393059	0.6924131	0.77448463	56390733	0.0029532348	15862441	3527737	16022998	174	16230460	11652989	0.004476209	16405475	50.26813	0.01145399	0.93916684	867	0.25408673	50.25177
GTEX-N7MS-0426-SM-2QU34	1	C1	OK for analysis	6.6	Muscle	Muscle - Skeletal	16-19 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-N7MS-0426-SM-2YUN6	1	C1	OK for analysis	6.6	Muscle	Muscle - Skeletal	16-19 hours	BP-16740	RNA isolation_Trizol Manual (Cell Pellet)	05/19/2011	LCSET-1433	06/09/2012	TrueSeq.v1	0.747114	60415	0.95930827	962	0.75771	0.8742428	0.2928548	22994	0.58519906	0.6792871	76	47.69465	0.0027803455	197	30895867	72543884	0.040526915	3174674	95740970	8291854	0.622505	136129	34853797	68164	0.042179935	0	0.08506542	0.44341117	0.6624225	42452614	0.003110523	13812307	3885718	14117262	167	14553079	14692444	0.0029431256	14179221	49.34941	0.03315899	0.7683059	833	0.4148009	50.545937
GTEX-N7MS-0526-SM-4E3JP	1	C1	OK for analysis	7.4	Nerve	Nerve - Tibial	20-23 hours	BP-36182	RNA isolation_PAXgene Tissue miRNA	02/15/2013	LCSET-3416	07/12/2013	TrueSeq.v1	0.91376734	130932	0.9652908	666	0.92510694	0.77547914	0.2896521	27035	0.8362573	0.7649887	76	60.37396	0.005915101	201	122683276	83162889	0.034488533	868479	89895430	10687042	0.575316	149503	39973456	47377	0.02643381	0	0.18981166	0.7736274	0.71740115	69545565	0.0028763681	17340028	3931198	17505538	177	17785714	11999138	0.0044143586	17919359	50.187157	0.009660992	0.9364466	883	0.1637428	50.237488
GTEX-N7MS-0626-SM-2QU2Q	1	C1	Medial calcif., OK for analysis	8.8	Blood Vessel	Artery - Tibial	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-N7MS-0626-SM-2YUN7	1	C1	Medial calcif., OK for analysis	8.8	Blood Vessel	Artery - Tibial	20-23 hours	BP-16740	RNA isolation_Trizol Manual (Cell Pellet)	05/19/2011	LCSET-1433	06/09/2012	TrueSeq.v1	0.8412995	89187	0.9733563	811	0.85041445	0.8291434	0.29489663	24802	0.80520236	0.7130215	76	56.27116	0.0020318155	214	89415478	74861775	0.026187036	538389	88029752	7540572	0.5916484	143246	35965417	59736	0.034088418	0	0.14421298	0.68475574	0.70511556	60278882	0.0022858502	15402396	2729901	15622415	188	16025509	14718429	0.0021574714	15674231	49.44593	0.006115989	0.8595295	848	0.19479758	50.354584
GTEX-N7MS-0826-SM-2AXU2	1	C1	Ok for analysis	8.5	Heart	Heart - Left Ventricle	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0826-SM-2HML4	1	C1	Ok for analysis	8.5	Heart	Heart - Left Ventricle	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-1156_2	02/15/2012	TrueSeq.v1	0.718508	78223	0.9812924	844	0.7514644	0.89708763	0.2799588	24274	0.5790818	0.7762242	76	47.133823	0.0035063538	194	32317608	76627741	0.018544288	5265487	101971220	14993172	0.6451956	141914	35645594	66412	0.0374216	0	0.0842048	0.4351594	0.6741294	44373733	0.005534406	14422649	2732911	14945542	178	16213161	11878384	0.004475909	15867884	49.46187	0.051636994	0.7844208	834	0.42091814	50.890236
GTEX-N7MS-0926-SM-2AXU3	2	C1	OK for analysis	8.7	Lung	Lung	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-0926-SM-2HMIZ	2	C1	OK for analysis	8.7	Lung	Lung	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-1156_2	02/15/2012	TrueSeq.v1	0.6640391	88937	0.96984774	774	0.69424415	0.7615917	0.27038684	25069	0.7893657	0.8130781	76	39.975754	0.0026855858	146	68378117	59948253	0.029919038	596422	86350392	13269120	0.61266154	143530	27828337	54975	0.029281318	0	0.20825608	0.5480125	0.5287305	47321095	0.004792958	12023141	3395876	12178912	129	13200940	8323093	0.0036934284	13202220	50.002422	0.0069069983	0.7244492	837	0.21063429	50.321815
GTEX-N7MS-1126-SM-3LK5E	1	C1	OK for analysis	7.1	Esophagus	Esophagus - Muscularis	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2234	12/16/2012	TrueSeq.v1	0.8247028	70890	0.9670951	1280	0.8330198	0.8636903	0.27712885	24394	0.3073919	0.8364939	76	20.68332	0.0025801575	285	11727193	74287260	0.032778956	3858922	89178276	9438492	0.68578756	140314	35789963	95347	0.056812536	0	0.10340482	0.25606355	0.71947116	22835305	0.0028681897	15656017	4307587	16150317	256	16197001	7799047	0.0027227357	16237460	50.062374	0.043271996	0.8413366	757	0.69260806	50.777046
GTEX-N7MS-1225-SM-3LK5G	1	C1	OK for analysis	7.1	Esophagus	Esophagus - Mucosa	20-23 hours	BP-16740	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2234	12/16/2012	TrueSeq.v1	0.7655625	68573	0.9648186	1032	0.7724345	0.85061044	0.25684687	24447	0.49723643	0.89645994	76	26.30998	0.0029265394	173	18120492	58793361	0.03506311	2467627	76114370	13241948	0.6924308	140831	28341499	82277	0.047557034	0	0.11420824	0.38408256	0.6570408	29234200	0.003277348	12131527	6341694	12432933	168	12516002	6510953	0.003100383	12502198	49.972412	0.03241999	0.7793065	791	0.50276357	50.613503
GTEX-N7MS-1626-SM-3LK5F	2	C1	OK to analyze	6.8	Kidney	Kidney - Cortex	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2234	12/16/2012	TrueSeq.v1	0.87430674	96066	0.9700645	1251	0.8820911	0.92892605	0.30498177	24079	0.28321493	0.735332	76	23.355925	0.0025592044	299	10429428	72251195	0.029729253	10536362	81908988	8568100	0.661005	140437	34985189	122454	0.07518706	0	0.041138463	0.24982136	0.8193974	20462615	0.0028253575	15440048	4654441	15943629	269	16002644	10463577	0.0026911064	15924886	49.878227	0.12863499	0.88987553	773	0.71678513	50.8023
GTEX-N7MS-2326-SM-2AXU4	1	C1	OK to analyze	8.5	Thyroid	Thyroid	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
GTEX-N7MS-2326-SM-2HMLD	1	C1	OK to analyze	8.5	Thyroid	Thyroid	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-1156_2	04/02/2012	TrueSeq.v1	0.5485952	169308	0.9726037	779	0.583898	0.836204	0.30041543	26712	0.68979794	0.7884753	76	51.752186	0.003477757	198	51828863	75786856	0.027139997	793564	129794692	31845442	0.6337739	149283	34505861	55246	0.032454997	0	0.13639964	0.40277162	0.48825783	52277614	0.005825533	14786762	6081830	15007352	169	16779727	12695271	0.0045806714	16848495	50.10225	0.0061139944	0.61920077	829	0.3102021	50.370193
GTEX-N7MS-2425-SM-26GMD	1	C1	OK to analyze	8.7	Brain	Brain - Cortex	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011			Tech Dev																																													
GTEX-N7MS-2425-SM-26GMU	1	C1	OK to analyze	8.7	Brain	Brain - Cortex	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011			Tech Dev																																													
GTEX-N7MS-2425-SM-2D43D	1	C1	OK to analyze	8.7	Brain	Brain - Cortex	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTEx_96Affy3_Oct2011	11/24/2011	Affymetrix Expression																																													
GTEX-N7MS-2526-SM-26GMA	1	C1	OK to analyze	9.6	Brain	Brain - Cerebellum	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011			Tech Dev																																													
GTEX-N7MS-2526-SM-26GMR	1	C1	OK to analyze	9.6	Brain	Brain - Cerebellum	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011			Tech Dev																																													
GTEX-N7MS-2526-SM-2D43A	1	C1	OK to analyze	9.6	Brain	Brain - Cerebellum	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	GTEx_96Affy3_Oct2011	11/24/2011	Affymetrix Expression																																													
GTEX-N7MS-2526-SM-2D7W3	1	C1	OK to analyze	9.6	Brain	Brain - Cerebellum	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-1010_1	10/30/2011	TrueSeq.v1	0.7418139	43332	0.95590705	697	0.75271744	0.7626529	0.30284998	23422	0.90219146	0.72695607	101	46.0386	0.0022147298	135	121397024	43567483	0.043540545	647332	57880266	5489192	0.5853866	137442	20858971	50467	0.02773973	0	0.19325419	0.67909527	0.5740621	39306212	0.0027070432	8887930	2398170	8975367	130	9201679	7818118	0.002457321	9189799	49.9677	0.011183985	0.763621	848	0.09780852	50.244743
GTEX-N7MS-2625-SM-3LK77	1	C1	OK to analyze	8.5	Pituitary	Pituitary	20-23 hours	BP-16741	RNA isolation_PAXgene Tissue miRNA	05/19/2011	LCSET-2234	12/16/2012	TrueSeq.v1	0.6885366	70679	0.9562317	920	0.70007527	0.8341776	0.30712348	26028	0.7034192	0.7802067	76	33.926624	0.0024760964	156	32557973	47867050	0.04354833	1367482	68374144	8055226	0.6230704	148659	22912082	66923	0.035861015	0	0.12205409	0.4924464	0.5839871	33670598	0.0028855768	9464032	3366074	9624286	126	9888999	8264696	0.002677462	9845626	49.890114	0.019999987	0.711614	862	0.2965809	50.41977
GTEX-N7MT-0007-SM-3GACQ		D1		7.9	Blood	Whole Blood	4-7 hours	BP-16697	RNA isolation_PAXgene Blood RNA (Manual)	05/18/2011	LCSET-2014	09/08/2012	TrueSeq.v1	0.76998323	62258	0.95982575	1468	0.7943009	0.8801637	0.31208578	21457	0.1654973	0.7431671	76	12.969399	0.002664196	167	5495207	67848988	0.03991359	2947408	85419758	12217612	0.6435713	128861	32022529	117997	0.07564468	0	0.079662025	0.13145466	0.6991148	11228825	0.0059157745	14084843	10312708	14571248	161	15308356	14766356	0.0042402116	15140894	49.725014	0.03450499	0.8186185	734	0.83450264	50.848694
GTEX-N7MT-0009-SM-2BWYA		D1			Blood	Whole Blood	4-7 hours	BP-16702	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	05/18/2011	GTExHapMap_5M_Sept2011	10/18/2011	Illumina OMNI SNP Array																																													
GTEX-N7MT-0011-R10A-SM-2I3E1		D1, A1		6.8	Brain	Brain - Frontal Cortex (BA9)		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	LCSET-1167_3	02/17/2012	TrueSeq.v1	0.8519565	66433	0.96552914	911	0.8635423	0.885659	0.24386089	25395	0.6849452	0.7911399	76	47.521404	0.0030464397	249	44159722	70015778	0.03411848	5404045	81079732	8329918	0.67383313	145661	33722462	68198	0.03693356	0	0.07987023	0.5914792	0.764804	47956972	0.0033968296	13385420	2527786	13569580	236	13833310	8485405	0.0032192841	13865556	50.05821	0.066651	0.87512815	833	0.3150548	50.341606
GTEX-N7MT-0011-R10A-SM-2IZHQ		D1, A1		6.8	Brain	Brain - Frontal Cortex (BA9)		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
